id_ords,data_provider,country,step_barrier_id,step_barrier,product_category,brand,repair_status,year_of_manufacture,event_date,language,problem
restart_10205,The Restart Project,HKG,1,Battery is not the main problem,Mobile,Samsung,Repairable,2016,2018-11-11,en,"Device won't connect via USB, dropped in sea water - request new I/O daughterboard and battery"
restart_10518,The Restart Project,HKG,1,Battery is not the main problem,Mobile,Apple,Repairable,2016,2018-11-25,en,"Phone runs slow; changed battery 1 month ago but doesn't help, 4Gb of storage left from 64"
restart_10664,The Restart Project,GBR,1,Battery is not the main problem,Portable radio,Unknown,Repairable,????,2018-12-08,en,Works on battery  but not mains.  Problem not identifed.
restart_10665,The Restart Project,GBR,1,Battery is not the main problem,Toy,Unknown,Repairable,????,2018-12-08,en,Work on battery but not mains.  Problem not identified.  Likely repairable with new external power supply.
restart_11724,The Restart Project,GBR,1,Battery is not the main problem,Laptop,Samsung,Repairable,2014,2019-02-23,en,"needs replacing video connector, part changed, but couldn't be tested (as no battery charger)"
restart_12173,The Restart Project,GBR,1,Battery is not the main problem,Small home electrical,Tennis Tutor,Repairable,2009,2019-03-20,en,<p>Ball launcher wheels not turning.</p><p>Stripped unit.</p><p>Test battery x2</p><p>Test each motor</p><p>Test controls.</p><p>Ball motors work if control panel is bypassed.</p><p>Have contacted Manufacturer for advice.</p>
restart_12377,The Restart Project,SWE,1,Battery is not the main problem,Laptop,Lenovo,Repairable,????,2019-03-24,en,"It does not charge, and does not start even if there is charge in the battery"
restart_12531,The Restart Project,GBR,1,Battery is not the main problem,Laptop,Unknown,Repairable,????,2019-04-06,en,"Forgot BIOS password, need help removing CMOS battery - not seen due to lack of time"
restart_13005,The Restart Project,GBR,1,Battery is not the main problem,Watch/clock,Habitat,Repairable,2016,2019-05-11,en,"Clock.  Keeps losing time, needs a new battery every 3 days.Suggested to get a new mechanism."
restart_1360,The Restart Project,GBR,1,Battery is not the main problem,PC accessory,Unknown,Repairable,????,2015-04-25,en,iPhone charger - Continuity - Not enough time
restart_13638,The Restart Project,ITA,1,Battery is not the main problem,Mobile,Apple,Repairable,????,2019-06-06,en,broken screen and recharge circuit not working
restart_15187,The Restart Project,HKG,1,Battery is not the main problem,Mobile,Apple,Repairable,2016,2019-10-13,en,"Cracked digitizer 4 months ago, screen repaired by 3rd part, Bad battery health(66%). Ordered new screen assembly"
restart_15243,The Restart Project,SWE,1,Battery is not the main problem,Toy,Unknown,Repairable,2009,2019-10-19,en,only turns one way. Could not inspect because particpant did not bring correct batteries. Will continue next event.
restart_15734,The Restart Project,GBR,1,Battery is not the main problem,Laptop,Compaq,Repairable,2012,2019-11-10,en,Wont power on - no response to power button.  New PSU + Mains lead tested.  Power at motherboard OK.  Power LED white on mains and amber if battery connected after reassembly but still wont power on.
restart_15744,The Restart Project,GBR,1,Battery is not the main problem,Small home electrical,Alba Diagnostics,Repairable,2014,2019-11-10,en,Draining battery.  Needs new chip.
restart_16669,The Restart Project,BEL,1,Battery is not the main problem,Vacuum,LG,Repairable,2018,2020-01-25,en,New battery but reset button does not work. Not possible to upload updates for the electronic control
restart_1689,The Restart Project,GBR,1,Battery is not the main problem,Portable radio,Unknown,Repairable,????,2015-09-19,en,Wind up radio which doesn't seem to be charging - fixed partly but there was a crack in the cog for the dynamo which meant the dynamo keeps slipping.
restart_1735,The Restart Project,GBR,1,Battery is not the main problem,Portable radio,Unknown,Repairable,????,2015-09-26,en,speaker burnt ou - need to be charged
restart_17702,The Restart Project,SWE,1,Battery is not the main problem,Toy,Traxxis,Repairable,2019,2020-08-30,en,"Battery cable needed to be resoldered. However, then the motor is not working..."
restart_17731,The Restart Project,SWE,1,Battery is not the main problem,Mobile,Fairphone,Repairable,2016,2020-09-13,en,right side of display not working. microphone only working with headset. Does not transfer pictures to computer. Poor charging.
restart_1827,The Restart Project,GBR,1,Battery is not the main problem,Tablet,Unknown,Repairable,????,2015-10-31,en,does not switch on - no issue with battery/ microsocket - individual happy with advice received
restart_1995,The Restart Project,GBR,1,Battery is not the main problem,Mobile,Apple,Repairable,????,2015-12-01,en,"dust in the camera. advised to ask Apple to do it free of charge, as not due to usage"
restart_3701,The Restart Project,GBR,1,Battery is not the main problem,Watch/clock,Unknown,Repairable,????,2016-11-16,en,Battery clock - new motor needed from Ebay
restart_3856,The Restart Project,GBR,1,Battery is not the main problem,Mobile,Samsung,Repairable,????,2016-11-23,en,Slow and freezes. May need battery replaced.
restart_5026,The Restart Project,GBR,1,Battery is not the main problem,Laptop,Toshiba,Repairable,????,2017-05-09,en,Owner was not able to restore system from discs. BIOS/password problem. Advised to remove the cmos battery for >25min and reset
restart_5527,The Restart Project,GBR,1,Battery is not the main problem,Food processor,Unknown,Repairable,????,2017-06-24,en,Hand blender overheated. Needs batteries.
restart_6048,The Restart Project,GBR,1,Battery is not the main problem,Laptop,Dell,Repairable,????,2017-09-23,en,Keeps blowing charger. needs specialist advice.
restart_6054,The Restart Project,GBR,1,Battery is not the main problem,Digital compact camera,Olympus,Repairable,????,2017-09-23,en,Water entered the camera. Needs charging to test.
restart_6503,The Restart Project,GBR,1,Battery is not the main problem,Handheld entertainment device,Apple,Repairable,????,2017-11-11,en,Won't charge - charging power cord corroded. Advised to clean socket (10 years old)
restart_6661,The Restart Project,GBR,1,Battery is not the main problem,Tablet,Samsung,Repairable,????,2017-11-25,en,arrived dismantled. new battery but won't power up. ribbon cable to screen had been torn from connection. owner to try external monitor to save data.
restart_6804,The Restart Project,ESP,1,Battery is not the main problem,Mobile,Unknown,Repairable,????,2017-12-02,en,The battery quickly discharges and the mobile gets too warm.We recommend to update the software or a factory reset.
restart_7062,The Restart Project,GBR,1,Battery is not the main problem,Small kitchen item,Unknown,Repairable,????,2018-01-28,en,Weighing scale. Advised on how to get around broken battery cover.
restart_7465,The Restart Project,ISL,1,Battery is not the main problem,PC accessory,Apple,Repairable,????,2018-03-14,en,Battery drains really fast. Solved as a software issue
restart_755,The Restart Project,GBR,1,Battery is not the main problem,Games console,Sony,Repairable,????,2014-06-28,en,"Gaming device (needs category). Won't turn on. Battery needs charging, cleaned up."
restart_8331,The Restart Project,GBR,1,Battery is not the main problem,Mobile,Sony,Repairable,2014,2018-05-13,en,Brought a spare battery - but the problem wasn't the battery. Professional help needed.
restart_8834,The Restart Project,GBR,1,Battery is not the main problem,Misc,Unknown,Repairable,1988,2018-07-21,en,Stopped and it's not the battery. Suspect it's the mechanism
restart_8935,The Restart Project,GBR,1,Battery is not the main problem,Laptop,HP,Repairable,2017,2018-08-16,en,Cannot login (lost password). The owner didn't bring the charger and none of the chargers we had on the day was compatible.
anstiftung_2109,anstiftung,DEU,9,Battery is not the main problem,Decorative or safety lights,Unknown,End of life,????,2016-03-10,de,"Sie leuchtete nicht mehr. Nicht nur der LiPo-Akku war komplett leer, was für diesen Typ schon den Tod bedeutet, sondern auch eine Sicherung in der Ladestation war defekt. Die haben wir ersetzt, aber auch die Ladeelektronik selbst hatte einen Defekt, den wir nicht beheben konnten."
rcint_10225,Repair Café International,NLD,9,Battery is not the main problem,Watch/clock,Unknown,End of life,2010,2018-10-06,nl,"Klok op radiosignaal, hij loopt niet meer, ook niet met nieuwe batterijen"
rcint_15282,Repair Café International,NLD,9,Battery is not the main problem,Portable radio,Sangean,End of life,????,2019-03-02,nl,"Gaat niet aan en uit, ook niet met adapter of batterijen"
rcint_16037,Repair Café International,GBR,9,Battery is not the main problem,Lamp,Unknown,End of life,????,2019-03-23,en,Charging port loose
rcint_16624,Repair Café International,NLD,9,Battery is not the main problem,Toy,Jumbo,End of life,1999,2019-04-06,nl,Werkt niet meer op adapter of batterijen
rcint_19829,Repair Café International,NLD,9,Battery is not the main problem,Power tool,Metabo,End of life,2015,2019-07-06,nl,Acculader defect
rcint_20247,Repair Café International,CAN,9,Battery is not the main problem,Vacuum,iRobot,End of life,2004,2019-07-27,en,won't start even with new battery installed
rcint_20293,Repair Café International,GBR,9,Battery is not the main problem,Hair & beauty item,Unknown,End of life,????,2019-07-27,en,Charger not working
rcint_20688,Repair Café International,CAN,9,Battery is not the main problem,Watch/clock,Seiko,End of life,1991,2019-08-24,en,"stopped working, not a battery issue"
rcint_22093,Repair Café International,NLD,9,Battery is not the main problem,Watch/clock,Unknown,End of life,1980,2019-09-28,nl,"Loopt niet, terwijl batterij al vervangen is."
rcint_22216,Repair Café International,NLD,9,Battery is not the main problem,Power tool,Ferm,End of life,2011,2019-09-28,nl,acculader kapot
rcint_22614,Repair Café International,NLD,9,Battery is not the main problem,Musical instrument,Unknown,End of life,2000,2019-10-05,nl,geeft geen geluid ondanks nieuwe batterijen
rcint_24897,Repair Café International,CAN,9,Battery is not the main problem,Watch/clock,Quartz,End of life,????,2019-11-09,en,"Watch stopped working, hands don't move, have replaced battery before, but watch dies shortly after"
rcint_3953,Repair Café International,NLD,9,Battery is not the main problem,Misc,Doc i doc,End of life,2017,2017-12-22,nl,"Contacten schoonmaken, batterijen vernieuwen . Was niet de oorzaak."
rcint_8940,Repair Café International,NLD,9,Battery is not the main problem,Power tool,Black & Decker,End of life,????,2018-09-01,nl,oplader accu defect
rcwales_1067,Repair Cafe Wales,GBR,9,Battery is not the main problem,Decorative or safety lights,Unknown,End of life,????,2018-11-01,en,"Headtorch Not working, bulb and batteries fine"
rcwales_1273,Repair Cafe Wales,GBR,9,Battery is not the main problem,Misc,Unknown,End of life,????,2019-04-01,en,Mobility Scooter No Power - have tried new battery
rcwales_1534,Repair Cafe Wales,GBR,9,Battery is not the main problem,Decorative or safety lights,Narwol,End of life,????,2019-01-01,en,Battery powered light Won't turn on. Have changed batteries but still doesn't work.
rcwales_1977,Repair Cafe Wales,GBR,9,Battery is not the main problem,Laptop,Unknown,End of life,????,2019-11-01,en,laptop wont charge loose connection
rcwales_2467,Repair Cafe Wales,GBR,9,Battery is not the main problem,Battery/charger/adapter,Unknown,End of life,????,2019-12-01,en,battery charger loose wire
rcwales_2949,Repair Cafe Wales,GBR,9,Battery is not the main problem,Toy,Binatone terrain,End of life,????,2019-11-01,en,Walky talky and charger Walky talkies working ok charging dock not working
rcwales_3159,Repair Cafe Wales,GBR,9,Battery is not the main problem,Battery/charger/adapter,HP,End of life,????,2019-07-01,en,laptop charger no charge
rcwales_3482,Repair Cafe Wales,GBR,9,Battery is not the main problem,Portable radio,Unknown,End of life,????,2020-02-01,en,battery radio only plays on earphones
rcwales_4228,Repair Cafe Wales,GBR,9,Battery is not the main problem,Battery/charger/adapter,Unknown,End of life,????,2020-03-01,en,battery charger 
rcwales_701,Repair Cafe Wales,GBR,9,Battery is not the main problem,Battery/charger/adapter,Unknown,End of life,????,2018-04-01,en,Mobile Phone Charger charger
restart_10287,The Restart Project,IRL,9,Battery is not the main problem,Laptop,Unknown,End of life,2010,2018-11-17,en,"Laptop not Charging. Power Supply checked, etc. but no fault found."
restart_10417,The Restart Project,NOR,9,Battery is not the main problem,Mobile,Apple,End of life,2015,2018-11-21,en,Turns off even when fully charged
restart_11413,The Restart Project,BEL,9,Battery is not the main problem,Misc,Apple,End of life,????,2019-02-14,en,Charger broken
restart_11947,The Restart Project,BEL,9,Battery is not the main problem,Misc,Unknown,End of life,????,2019-03-09,nl,"Weegschaal, Werkt niet meer. Batterijen vervangen, toestel blijkt stuk."
restart_12819,The Restart Project,GBR,9,Battery is not the main problem,Laptop,Dell,End of life,????,2019-04-24,en,"Laptop not charging, needs new motherboard"
restart_14296,The Restart Project,GBR,9,Battery is not the main problem,Tablet,Tesco,End of life,2014,2019-07-29,en,New charge card didn't work. Tablet scrapped and recycled one supplied.
restart_14424,The Restart Project,GBR,9,Battery is not the main problem,Misc,Unknown,End of life,2017,2019-08-17,en,hand torch not working even when battery replaced
restart_14897,The Restart Project,NOR,9,Battery is not the main problem,Laptop,Acer,End of life,2016,2019-09-28,en,"Bent charging port, doesn't charge well"
restart_15148,The Restart Project,GBR,9,Battery is not the main problem,PC accessory,Unknown,End of life,????,2019-10-12,en,tablet charging port
restart_15157,The Restart Project,GBR,9,Battery is not the main problem,Toy,Unknown,End of life,????,2019-10-12,en,battery operated toy dog - wiring too old and kept breaking
restart_15670,The Restart Project,NOR,9,Battery is not the main problem,Misc,Alpen Heat,End of life,2009,2019-11-09,en,Charger is defect (charging port
restart_16209,The Restart Project,GBR,9,Battery is not the main problem,Portable radio,Sony,End of life,????,2019-12-07,en,"Tapes won't play, radio reception bad, case slightly broken which affects battery connection"
restart_16322,The Restart Project,GBR,9,Battery is not the main problem,Battery/charger/adapter,Revitive,End of life,????,2019-12-21,en,Charger not working - unable to fix
restart_16360,The Restart Project,ESP,9,Battery is not the main problem,Power tool,Parkside (Lidl),End of life,2013,2019-12-21,en,"Burnt motor, dead battery."
restart_1645,The Restart Project,GBR,9,Battery is not the main problem,Mobile,BlackBerry,End of life,????,2015-08-23,en,"Won't power on, even with a new battery"
restart_16853,The Restart Project,GBR,9,Battery is not the main problem,Portable radio,Bush,End of life,2010,2020-02-01,en,"Dies immediately even with fresh batteries:solution: Faulty motor, not fixable"
restart_17002,The Restart Project,GBR,9,Battery is not the main problem,Vacuum,Ilife,End of life,2019,2020-02-08,en,Charger not working
restart_17056,The Restart Project,GBR,9,Battery is not the main problem,Hi-Fi separates,Marley,End of life,2017,2020-02-15,en,charging input broken
restart_17348,The Restart Project,BEL,9,Battery is not the main problem,Misc,Unknown,End of life,????,2020-02-16,en,loose charger - to small to solder with a normal soldering iron
restart_3311,The Restart Project,GBR,9,Battery is not the main problem,PC accessory,Unknown,End of life,????,2016-09-22,en,Phone charger
restart_38,The Restart Project,GBR,9,Battery is not the main problem,PC accessory,Unknown,End of life,????,2013-07-06,en,"Mouse charger - ""Blew"""
restart_3861,The Restart Project,GBR,9,Battery is not the main problem,Portable radio,Unknown,End of life,????,2016-11-24,en,DAB clock radio - no signal and no clock. Charger fault and no signal after factory reset
restart_448,The Restart Project,GBR,9,Battery is not the main problem,PC accessory,Unknown,End of life,????,2014-02-19,en,Laptop charger - Continuity fault - Needs replacement jack
restart_4513,The Restart Project,ITA,9,Battery is not the main problem,Laptop,HP,End of life,????,2017-03-11,en,Not booting. With or without battery or HD. Only running sometimes the BIOS. Not booting from USB. Old model with 512 MB of RAM
restart_501,The Restart Project,TUN,9,Battery is not the main problem,PC accessory,Apple,End of life,????,2014-03-08,en,Laptop Charger
restart_5134,The Restart Project,GBR,9,Battery is not the main problem,Tablet,Unknown,End of life,????,2017-05-20,en,"Kindle. Much testing. Battery, charger & switch all okay. So, main board or screen faulty."
restart_6498,The Restart Project,GBR,9,Battery is not the main problem,Tablet,Tesco,End of life,2015,2017-11-11,en,Completely dead - reworked battery but still dead
restart_6651,The Restart Project,ITA,9,Battery is not the main problem,Mobile,ASUS,End of life,2015,2017-11-19,en,"Fell into the ocean, battery contacts oxidized, screen dead"
restart_7371,The Restart Project,GBR,9,Battery is not the main problem,Vacuum,Unknown,End of life,????,2018-03-03,en,"Small battery-powered carpet cleaner attached to a long handle, brand/model forgotten. The handle had snapped off from the hinge, as a clip had snapped off. The hinge also seemed to be stuck in one position. After freeing the hinge and offering to glue the handle onto it with epoxy resin, the user decided that the two positions/angles the handle was now moving between were not practical, and decided against the repair."
restart_8848,The Restart Project,GBR,9,Battery is not the main problem,Misc,Maplin,End of life,2017,2018-07-21,en,Heated gloves.Think the circuit was damaged inside the gloves. The battery pack and charging checked out fine. Would have to damage to fix them
restart_9549,The Restart Project,NOR,9,Battery is not the main problem,Mobile,Samsung,End of life,2010,2018-10-11,en,"Charges, but does't start"
restart_11593,The Restart Project,GBR,10,Battery not readily available,Vacuum,Dyson,End of life,????,2019-02-17,en,"Battery Failure, not repairable"
restart_4917,The Restart Project,ITA,10,Battery not readily available,DSLR/video camera,Sony,End of life,????,2017-04-22,en,Proprietary battery dead (Old camera)
restart_57,The Restart Project,GBR,10,Battery not readily available,Laptop,Unknown,End of life,????,2013-07-31,en,Laptop - Power cutting off - Needs new battery
restart_10254,The Restart Project,GBR,11,"Built-in or soldered battery, cannot remove",Misc,Unknown,End of life,????,2018-11-17,en,Making weird noise - battery running out and not a model where the battery is changeable.
restart_137,The Restart Project,GBR,11,"Built-in or soldered battery, cannot remove",Decorative or safety lights,Unknown,End of life,????,2013-09-14,en,Bike lights - Battery issue - Soldered together
restart_177,The Restart Project,GBR,11,"Built-in or soldered battery, cannot remove",PC accessory,Unknown,End of life,????,2013-10-19,en,Solar charger - Battery issue - Needed to break it to get inside
restart_2273,The Restart Project,GBR,11,"Built-in or soldered battery, cannot remove",Hair & beauty item,OralB,End of life,????,2016-02-20,en,Toothbrush - non-replaceable battery
restart_3436,The Restart Project,GBR,11,"Built-in or soldered battery, cannot remove",Power tool,Bosch,End of life,????,2016-10-18,en,Lights up looks like its charging but nothing
fixitclinic_318,Fixit Clinic,USA,2,Clean battery contacts,Digital compact camera,Lumix (pasonic),Repairable,????,2019-01-12,en,camera  ~ clean the battery cage 
rcint_15235,Repair Café International,NLD,2,Clean battery contacts,Lamp,Unknown,Repairable,????,2019-03-02,nl,werkt niet goed / contact batterijen?
rcint_23329,Repair Café International,AUS,2,Clean battery contacts,Musical instrument,Casio,Repairable,2013,2019-10-13,en,Won't switch on with adaptor. Battery leaked in compartment
rcint_769,Repair Café International,NLD,2,Clean battery contacts,Watch/clock,Wanted,Repairable,2010,2017-04-15,nl,Batterij maakt slecht contact
rcwales_1652,Repair Cafe Wales,GBR,2,Clean battery contacts,Toy,Unknown,Repairable,????,2019-06-01,en,"Toys sound not working, Headtorch not coming on, toy laptop battery spring rusted, gas lighter doesnâ€™t switch on. "
rcwales_23,Repair Cafe Wales,GBR,2,Clean battery contacts,Portable radio,Unknown,Repairable,????,2017-04-01,en,Radio Batteries leaked
restart_13183,The Restart Project,GBR,2,Clean battery contacts,Portable radio,Blaupunkt,Repairable,1959,2019-05-17,en,Corroded batteries.  Advice given on cleaning up
restart_13563,The Restart Project,GBR,2,Clean battery contacts,Decorative or safety lights,Unknown,Repairable,2017,2019-06-01,en,Battery contacts cleaned and checked
restart_15267,The Restart Project,GBR,2,Clean battery contacts,Laptop,Apple,Repairable,2010,2019-10-19,en,Corroded connection to battery
anstiftung_1682,anstiftung,DEU,13,Damaged while replacing battery,Decorative or safety lights,Unknown,End of life,????,2018-03-08,de,"Fortsetzung von letztem Mal: Akku defekt.Besitzerin hatte selbst einen neuen Akku eingebaut, aber den falschen. Das hat das Gerät zerstört."
restart_15009,The Restart Project,SWE,13,Damaged while replacing battery,Headphones,Beats,End of life,2018,2019-10-02,en,The battery doesn't charge. We opened it - which didn't help and ended in a total failure of the device.
rcint_14277,Repair Café International,NLD,14,Difficult to remove battery,Lamp,Maglite,End of life,????,2019-02-02,nl,Batterij zit vast
rcint_14798,Repair Café International,NLD,14,Difficult to remove battery,Lamp,Maglite,End of life,????,2019-02-22,nl,batterijvakje gaat niet open
rcint_18085,Repair Café International,AUS,14,Difficult to remove battery,Watch/clock,Unknown,End of life,????,2019-05-12,en,Can't take it apart to put in new battery
rcint_22829,Repair Café International,NLD,14,Difficult to remove battery,Vacuum,Black & Decker,End of life,????,2019-10-05,nl,Batterijen zijn op; hoe krijg ik dit open
rcint_24863,Repair Café International,CAN,14,Difficult to remove battery,Watch/clock,Quartz,End of life,2014,2019-11-09,en,Can't open it to put a new battery in
restart_11394,The Restart Project,SWE,14,Difficult to remove battery,Misc,Unknown,End of life,2014,2019-02-10,en,Battery stuck in flashlight. Could not get out.
restart_12148,The Restart Project,BEL,14,Difficult to remove battery,Decorative or safety lights,Magicshine,End of life,2018,2019-03-17,en,"USB-chargable bike light. The charging indicator light shines when plugged in, but even after hours of charging, the light doesn't turn on. It was impossible to dissasemble without destroying the casing due to waterproofing and the overall design."
restart_12344,The Restart Project,GBR,14,Difficult to remove battery,Decorative or safety lights,Powerplus,End of life,2016,2019-03-24,en,"Solar/wind-up torch - stopped working, No way to open it to check batteries without fully destroying the product."
restart_12383,The Restart Project,GBR,14,Difficult to remove battery,Decorative or safety lights,Unknown,End of life,2004,2019-03-30,en,Unable to open to replace battery. Probably caused by battery leakage.https://maglite.com/support/faq
restart_15200,The Restart Project,BEL,14,Difficult to remove battery,Headphones,JBL,End of life,2019,2019-10-16,en,Battery overheated and does not work anymore as a result. No method to open the glued rubber casing
restart_2334,The Restart Project,GBR,14,Difficult to remove battery,Handheld entertainment device,Apple,End of life,????,2016-03-04,en,"battery dead, can't be fixed without breaking it"
restart_320,The Restart Project,GBR,14,Difficult to remove battery,Mobile,Unknown,End of life,????,2014-01-25,en,Phone - Not charging - Needed to destroy the case to get into it
restart_468,The Restart Project,GBR,14,Difficult to remove battery,Decorative or safety lights,Unknown,End of life,????,2014-03-08,en,Watch - Battery - Need better tools
restart_922,The Restart Project,GBR,14,Difficult to remove battery,Hair & beauty item,Unknown,End of life,????,2014-09-27,en,Electric toothbrush - Not charging - Need to break to open
anstiftung_4245,anstiftung,DEU,3,Fix connectors or casing,Watch/clock,Unknown,Repairable,2007,2019-12-12,de,"Sie funktionierte nicht mehr. Sie wurde nicht mehr mit der benötigten Betriebsspannung versorgt, weil die Kontakte im Batteriehalter vollkommen weggegammelt waren. Offenbar waren dort verbrauchte Batterien ausgelaufen und das Elektrolyt hat das Metall der Kontakte zersetzt. Die Besucherin wird einen neuen Batteriehalter besorgen und dann reparieren wir das nächste Mal weiter."
rcint_18578,Repair Café International,USA,3,Fix connectors or casing,Toy,Unknown,Repairable,2000,2019-05-25,en,"battery case eroded, touch control switch not working"
rcint_19760,Repair Café International,NLD,3,Fix connectors or casing,Misc,Elzo,Repairable,2014,2019-07-06,nl,batterij contact kapot
rcint_21778,Repair Café International,GBR,3,Fix connectors or casing,Hair & beauty item,Opi,Repairable,2010,2019-09-14,en,Loose charger or connection
restart_11486,The Restart Project,GBR,3,Fix connectors or casing,Toy,Unknown,Repairable,????,2019-02-16,en,Not working/battery not connecting with function
restart_15111,The Restart Project,GBR,3,Fix connectors or casing,Portable radio,Unknown,Repairable,????,2019-10-12,en,alarm clock- battery cage needs fixing.
restart_15617,The Restart Project,GBR,3,Fix connectors or casing,Decorative or safety lights,Linkax,Repairable,????,2019-11-02,en,"Was not powering on, the spring for one end of the battery connection was found to have broken away from a small solder joint. The user was shown how to solder this back on, but the new solder joint was a bit messy and bridged to the other power pole, so this would need to be re-done, but they ran out of time and left it for later. The T-Exchange's local soldering class was advertised for practice."
restart_16805,The Restart Project,GBR,3,Fix connectors or casing,Misc,Unknown,Repairable,????,2020-01-26,en,Battery holder broken.  Advice given.
restart_16968,The Restart Project,GBR,3,Fix connectors or casing,Watch/clock,PINEAPPLE FURNITURE LTD,Repairable,2010,2020-02-02,en,Battery mechanism not working.Replace mechanism plus minute and hour hands - low cost kit available online.
restart_17059,The Restart Project,GBR,3,Fix connectors or casing,Toy,Fisher-Price,Repairable,1990,2020-02-15,en,connection to the battery
restart_17259,The Restart Project,GBR,3,Fix connectors or casing,PC accessory,Unknown,Repairable,????,2020-02-15,en,charger cable connection
restart_2325,The Restart Project,GBR,3,Fix connectors or casing,DSLR/video camera,Canon,Repairable,????,2016-03-04,en,loose battery slot. showed how to do it at home
