id,data_provider,product_category,brand,year_of_manufacture,repair_status,group_identifier,date,problem,,,
restart_779,The Restart Project,"Flat screen 15-17""",Unknown,????,Repairable,Restart HQ,2013-07-31,Monitor - No image - Faulty capacitor identified,,,
restart_780,The Restart Project,Laptop medium,HP,????,End of life,Restart HQ,2013-07-31,Laptop - Water damage - Removed HD Ã¢â‚¬â€œ terminal,,,
restart_781,The Restart Project,TV and gaming-related accessories,Unknown,????,End of life,Restart HQ,2013-07-31,DVD recorder - Open/close mechanism -,,,
restart_782,The Restart Project,Hi-Fi integrated,Sony,????,Repairable,Restart HQ,2013-07-31,Home stereo - No sound output -,,,
restart_783,The Restart Project,Hi-Fi integrated,Unknown,????,Fixed,Restart HQ,2013-07-31,Home stereo - Buttons broken -,,,
restart_784,The Restart Project,Mobile,Motorola,????,End of life,Restart HQ,2013-07-31,Mobile - No sound output -,,,
restart_785,The Restart Project,Digital Compact Camera,Unknown,????,Repairable,Restart HQ,2013-07-31,Camera - Lens stuck -,,,
restart_786,The Restart Project,Laptop medium,Unknown,????,End of life,Restart HQ,2013-07-31,Laptop - Power cutting off - Needs new battery,,,
restart_787,The Restart Project,Digital Compact Camera,Sony,????,Repairable,Restart HQ,2013-07-31,Camera - Photos too dark - Owner following up with manufacturer,,,
restart_788,The Restart Project,Hi-Fi separates,Unknown,????,End of life,Restart HQ,2013-07-31,Audio component - No power - Needs a new capacitor,,,
restart_789,The Restart Project,Laptop medium,Unknown,????,Repairable,Restart HQ,2013-07-31,Laptop - Won't boot - Needs system reinstall, back up,,
restart_790,The Restart Project,Laptop medium,Unknown,????,Repairable,Restart HQ,2013-07-31,Laptop - Screen issue -,,,
restart_791,The Restart Project,Laptop medium,Unknown,????,Repairable,Restart HQ,2013-07-31,Laptop - Won't boot - Needed an external monitor to test,,,
restart_792,The Restart Project,Laptop medium,Apple,????,End of life,Restart HQ,2013-07-31,Laptop - Won't boot - Appears to be a motherboard issue,,,
restart_793,The Restart Project,Laptop medium,Samsung,????,End of life,Restart HQ,2013-07-31,Laptop - Gets no power - Appears to be a motherboard issue,,,
restart_794,The Restart Project,Headphones,Unknown,????,Fixed,Restart HQ,2013-07-31,Headphones - No sound output -,,,
restart_795,The Restart Project,PC Accessory,Apple,????,Fixed,Restart HQ,2013-07-31,Computer power adapter - Coming apart -,,,
restart_796,The Restart Project,Laptop medium,Sony,????,Repairable,Restart HQ,2013-07-31,Laptop - No sound output -,,,
restart_797,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2013-07-31,Laptop - Running slow -,,,
restart_798,The Restart Project,"Flat screen 19-20""",Unknown,????,Repairable,Restart HQ,2013-07-31,Monitor - Gets no power - Needs breaking open,,,
restart_799,The Restart Project,TV and gaming-related accessories,Unknown,????,Repairable,Restart HQ,2013-07-31,DVD recorder - Doesn't record -,,,
restart_800,The Restart Project,Mobile,Unknown,????,Repairable,Restart HQ,2013-07-31,Mobile - Won't boot -,,,
restart_801,The Restart Project,Hi-Fi separates,Unknown,????,Repairable,Restart HQ,2013-07-31,Audio component - No sound output -,,,
restart_802,The Restart Project,TV and gaming-related accessories,Sony,????,Repairable,Restart HQ,2013-07-31,Game console - Power cutting off -,,,
restart_803,The Restart Project,Mobile,Apple,????,Repairable,Restart HQ,2013-07-31,Mobile - No sound output -,,,
restart_804,The Restart Project,Toaster,Unknown,????,Repairable,Restart HQ,2013-07-31,Toaster - Gets no power - Needs a new element,,,
restart_805,The Restart Project,Mobile,Samsung,????,Repairable,Restart HQ,2013-07-31,Mobile - Gets no power -,,,
restart_806,The Restart Project,Laptop medium,Apple,????,End of life,Restart HQ,2013-07-31,Laptop - Intermittent fault - Couldn't replicate the fault,,,
restart_807,The Restart Project,Desktop computer,HP,????,End of life,Restart HQ,2013-07-31,Desktop computer - Power cutting off - Motherboard Ã¢â‚¬â€œ terminal,,,
restart_808,The Restart Project,Lamp,Unknown,????,Repairable,Restart HQ,2013-07-31,Lamp - Gets no power - Needs a new switch,,,
restart_809,The Restart Project,Kettle,Unknown,????,End of life,Restart HQ,2013-07-31,Kettle - Gets no power -,,,
restart_810,The Restart Project,Misc,Unknown,????,Fixed,Restart HQ,2013-07-31,Lined phone - No sound output -,,,
restart_811,The Restart Project,Digital Compact Camera,Unknown,????,End of life,Restart HQ,2013-07-31,Camera - Lens stuck -,,,
restart_812,The Restart Project,Mobile,Sony,????,Repairable,Restart HQ,2013-07-31,Mobile - Vibrating -,,,
restart_813,The Restart Project,Kettle,Unknown,????,End of life,Restart HQ,2013-07-31,Kettle - Gets no power -,,,
restart_814,The Restart Project,Laptop medium,Unknown,????,End of life,Restart HQ,2013-07-31,Laptop - Won't boot -,,,
restart_815,The Restart Project,Mobile,Samsung,????,Fixed,Restart HQ,2013-08-10,Mobile - Won't boot -,,,
restart_816,The Restart Project,Digital Compact Camera,Canon,????,End of life,Restart HQ,2013-08-10,Camera - No data output -,,,
restart_817,The Restart Project,Mobile,Unknown,????,Fixed,Restart HQ,2013-08-10,Headphones - Coming apart - Sugru,,,
restart_818,The Restart Project,Mobile,ZDE,????,Repairable,Restart HQ,2013-08-10,Mobile - Screen issue - Sourced screen and guide,,,
restart_819,The Restart Project,Misc,Philips,????,Fixed,Restart HQ,2013-08-10,Transcription machine - Gets no power - Battery corrosion,,,
restart_820,The Restart Project,PC Accessory,Seagate,????,End of life,Restart HQ,2013-08-10,HD - Faulty casing - Needs new casing,,,
restart_821,The Restart Project,Laptop small,Acer,????,Fixed,Restart HQ,2013-08-10,Netbook - Loose power in -,,,
restart_822,The Restart Project,Small kitchen item,Unknown,????,End of life,Restart HQ,2013-08-10,Mini oven - No power - Needs new element,,,
restart_823,The Restart Project,Small kitchen item,Unknown,????,Fixed,Restart HQ,2013-08-10,Clock - No power - Battery corrosion,,,
restart_824,The Restart Project,PC Accessory,Apple,????,Fixed,Restart HQ,2013-08-10,Computer power adapter - Coming apart - Sugru,,,
restart_825,The Restart Project,Digital Compact Camera,Unknown,????,Repairable,Restart HQ,2013-08-10,Camera - Lens stuck -,,,
restart_826,The Restart Project,Mobile,Sony,????,Fixed,Restart HQ,2013-08-10,Mobile - Screen issue -,,,
restart_827,The Restart Project,Laptop medium,HP,????,End of life,Restart HQ,2013-08-18,Laptop - Unstable -,,,
restart_828,The Restart Project,Laptop medium,Dell,????,End of life,Restart HQ,2013-08-18,Laptop - Won't boot -,,,
restart_829,The Restart Project,Laptop medium,Dell,????,Fixed,Restart HQ,2013-08-18,Laptop - Liquid damage - Needs new keyboard,,,
restart_830,The Restart Project,Hi-Fi separates,Unknown,????,End of life,Restart HQ,2013-08-18,Audio component - Open/close mechanism - Mechanical problem not fixed,,,
restart_831,The Restart Project,Laptop small,Acer,????,Fixed,Restart HQ,2013-08-18,Netbook - Loose power in -,,,
restart_832,The Restart Project,Hi-Fi separates,Sony,????,Repairable,Restart HQ,2013-08-18,Audio component - Mechanical problem - Part needed,,,
restart_833,The Restart Project,Hi-Fi separates,Unknown,????,End of life,Restart HQ,2013-08-18,Audio component - No sound output in one channel -,,,
restart_834,The Restart Project,Handheld entertainment device,Apple,????,Repairable,Restart HQ,2013-08-18,Mp3 player - Switch problem -,,,
restart_835,The Restart Project,Laptop small,Unknown,????,Repairable,Restart HQ,2013-08-18,Netbook - Won't boot - Needs keyboard,,,
restart_836,The Restart Project,Laptop medium,Dell,????,End of life,Restart HQ,2013-08-18,Laptop - Overheats -,,,
restart_837,The Restart Project,Mobile,Apple,????,End of life,Restart HQ,2013-08-18,Mobile - Switch problem -,,,
restart_838,The Restart Project,Hi-Fi separates,Fisher-Price,????,Repairable,Restart HQ,2013-08-18,"Audio component - ""Fried"" after wrong voltage -",,,
restart_839,The Restart Project,Portable radio,Unknown,????,Fixed,Restart HQ,2013-08-18,Handheld radio - Damaged casing -,,,
restart_840,The Restart Project,Toy,Unknown,????,End of life,Restart HQ,2013-08-18,"Remote controlled heli - After a crash, no lift -",,,
restart_841,The Restart Project,Hair & Beauty item,Unknown,????,End of life,Restart HQ,2013-08-18,Toothbrush - After a drop - You have to break it to open it,,,
restart_842,The Restart Project,Hi-Fi separates,Unknown,????,Fixed,Restart HQ,2013-08-18,Audio component - Blown capacitor -,,,
restart_843,The Restart Project,PC Accessory,Unknown,????,Fixed,Restart HQ,2013-08-18,Laptop charger - No power -,,,
restart_844,The Restart Project,PC Accessory,Unknown,????,End of life,Restart HQ,2013-08-18,Laptop charger - No power -,,,
restart_845,The Restart Project,Laptop medium,Samsung,????,End of life,Restart HQ,2013-08-18,Laptop - Loose power in -,,,
restart_846,The Restart Project,"Flat screen 26-30""",Samsung,????,End of life,Restart HQ,2013-08-18,TV - Image problem -,,,
restart_847,The Restart Project,Aircon/Dehumidifier,Unknown,????,End of life,Restart HQ,2013-08-18,Humidifier - No power -,,,
restart_848,The Restart Project,Laptop medium,Toshiba,????,Repairable,Restart HQ,2013-08-18,Laptop - Won't boot - Think its the graphics card,,,
restart_849,The Restart Project,Mobile,Samsung,????,End of life,Restart HQ,2013-08-18,Mobile - Bricked -,,,
restart_850,The Restart Project,Printer/scanner,Canon,????,Repairable,Restart HQ,2013-08-18,Printer - Black cartridge not working - Deep clean needed,,,
restart_851,The Restart Project,Laptop small,Unknown,????,Fixed,Restart HQ,2013-08-18,Netbook - Boots but doesn't accept pw -,,,
restart_852,The Restart Project,Hi-Fi integrated,Unknown,????,Fixed,Restart HQ,2013-08-18,Home stereo - Sound problem -,,,
restart_853,The Restart Project,Headphones,Sennheiser,????,End of life,Restart HQ,2013-08-18,Headphones - No sound output in one channel -,,,
restart_854,The Restart Project,Laptop medium,ASUS,????,End of life,Restart HQ,2013-08-18,Laptop - Problem with adapter -,,,
restart_855,The Restart Project,Laptop medium,Toshiba,????,End of life,Restart HQ,2013-08-18,Laptop - won't boot -,,,
restart_856,The Restart Project,Laptop medium,Dell,????,End of life,Restart HQ,2013-08-18,Laptop - Running slow -,,,
restart_857,The Restart Project,Portable radio,Roberts,????,End of life,Restart HQ,2013-08-18,Radio - No signal -,,,
restart_858,The Restart Project,Laptop medium,Packard Bell,????,Fixed,Restart HQ,2013-09-14,Laptop - Running slow -,,,
restart_859,The Restart Project,Laptop medium,Apple,????,Repairable,Restart HQ,2013-09-14,Laptop - Broken screen - Needs replacement screen,,,
restart_860,The Restart Project,Tablet,Unknown,????,Fixed,Restart HQ,2013-09-14,Tablet - Battery issue -,,,
restart_861,The Restart Project,Hi-Fi integrated,Unknown,????,Fixed,Restart HQ,2013-09-14,Home stereo - Sound problem -,,,
restart_862,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2013-09-14,Laptop - No power -,,,
restart_863,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2013-09-14,Laptop - No power -,,,
restart_864,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2013-09-14,Laptop - Boots slowly -,,,
restart_865,The Restart Project,Laptop medium,Unknown,????,Repairable,Restart HQ,2013-09-14,Laptop - Won't boot - Needs windows boot disc,,,
restart_866,The Restart Project,Decorative or safety lights,Unknown,????,End of life,Restart HQ,2013-09-14,Bike lights - Battery issue - Soldered together,,,
restart_867,The Restart Project,Digital Compact Camera,Unknown,????,Fixed,Restart HQ,2013-09-14,Camera - Mechanical problem -,,,
restart_868,The Restart Project,Laptop medium,Unknown,????,Repairable,Restart HQ,2013-09-14,Laptop - Won't boot - Think its the graphic card,,,
restart_869,The Restart Project,Hi-Fi separates,Unknown,????,End of life,Restart HQ,2013-09-14,Audio component - No sound output in one channel -,,,
restart_870,The Restart Project,Headphones,Unknown,????,Repairable,Restart HQ,2013-09-14,Headphones - Sound problem - Laptop - medium,,,
restart_871,The Restart Project,Hi-Fi integrated,Unknown,????,Fixed,Restart HQ,2013-09-14,Home stereo - Mechanical problem -,,,
restart_872,The Restart Project,Portable radio,Unknown,????,Fixed,Restart HQ,2013-09-14,Radio - Sound problem - Midas touch,,,
restart_873,The Restart Project,Hi-Fi separates,Unknown,????,End of life,Restart HQ,2013-09-14,Audio component - Mechanical problem -,,,
restart_874,The Restart Project,PC Accessory,Unknown,????,End of life,Restart HQ,2013-09-14,External HD - No data output -,,,
restart_875,The Restart Project,Laptop medium,Apple,????,End of life,Restart HQ,2013-09-14,Laptop - No power -,,,
restart_876,The Restart Project,Hi-Fi separates,Unknown,????,Fixed,Restart HQ,2013-09-14,CD player - Mechanical problem - Midas touch,,,
restart_877,The Restart Project,Decorative or safety lights,Unknown,????,End of life,Restart HQ,2013-09-14,Watch - Battery issue -,,,
restart_878,The Restart Project,Mobile,Apple,????,Repairable,Restart HQ,2013-09-14,Mobile - No power -,,,
restart_879,The Restart Project,Small kitchen item,Unknown,????,Repairable,Restart HQ,2013-09-14,Ricecooker - Second time - more time,,,
restart_880,The Restart Project,Printer/scanner,Canon,????,End of life,Restart HQ,2013-09-14,Printer - Error message -,,,
restart_881,The Restart Project,Printer/scanner,HP,????,End of life,Restart HQ,2013-09-14,Printer - Mechical problem -,,,
restart_882,The Restart Project,Hair & Beauty item,Unknown,????,End of life,Restart HQ,2013-09-26,Defuser aromtherapy - No power -,,,
restart_883,The Restart Project,Digital Compact Camera,Kodak,????,End of life,Restart HQ,2013-09-26,Camera - No power -,,,
restart_884,The Restart Project,TV and gaming-related accessories,Unknown,????,End of life,Restart HQ,2013-09-26,DVD player - No sound - Probably a capacitor but not sure,,,
restart_885,The Restart Project,Digital Compact Camera,Unknown,????,End of life,Restart HQ,2013-09-26,Camera - Botched repair -,,,
restart_886,The Restart Project,Printer/scanner,HP,????,Fixed,Restart HQ,2013-09-26,Printer - Error message -,,,
restart_887,The Restart Project,Hi-Fi separates,Unknown,????,Repairable,Restart HQ,2013-09-26,CD player - Mechnical problem - Needs replacement switch,,,
restart_888,The Restart Project,Power tool,Unknown,????,Fixed,Restart HQ,2013-09-26,Power drill - No power -,,,
restart_889,The Restart Project,Handheld entertainment device,Unknown,????,End of life,Restart HQ,2013-09-26,Handheld radio - Running slow -,,,
restart_890,The Restart Project,Kettle,Unknown,????,Fixed,Restart HQ,2013-09-26,Kettle - Not heating -,,,
restart_891,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2013-09-26,Laptop - Keyboard -,,,
restart_892,The Restart Project,Handheld entertainment device,Apple,????,End of life,Restart HQ,2013-09-26,Mp3 player - Switch problem -,,,
restart_893,The Restart Project,Hi-Fi integrated,Unknown,????,Repairable,Restart HQ,2013-09-26,Home stereo - No power - Maybe the fuse,,,
restart_894,The Restart Project,Mobile,Samsung,????,End of life,Restart HQ,2013-09-26,Mobile - Battery issue -,,,
restart_895,The Restart Project,Toy,Unknown,????,End of life,Restart HQ,2013-09-26,Toy - No power -,,,
restart_896,The Restart Project,Handheld entertainment device,Apple,????,Fixed,Restart HQ,2013-09-26,Mp3 player - Switch problem -,,,
restart_897,The Restart Project,Mobile,Samsung,????,End of life,Restart HQ,2013-09-26,Mobile - No power -,,,
restart_898,The Restart Project,Small kitchen item,Unknown,????,Fixed,Restart HQ,2013-09-26,Clock - No power -,,,
restart_899,The Restart Project,Digital Compact Camera,Unknown,????,Repairable,Restart HQ,2013-10-19,Camera - Mechanical problem -,,,
restart_900,The Restart Project,Laptop medium,Unknown,????,End of life,Restart HQ,2013-10-19,Laptop - Internet issue - Virus problem,,,
restart_901,The Restart Project,Laptop medium,Apple,????,Repairable,Restart HQ,2013-10-19,Laptop - Strange screen/mouse -,,,
restart_902,The Restart Project,Musical instrument,Yamaha,????,Fixed,Restart HQ,2013-10-19,Drum machine - No power -,,,
restart_903,The Restart Project,TV and gaming-related accessories,Unknown,????,Fixed,Restart HQ,2013-10-19,VCR - No power - Was just the fuse,,,
restart_904,The Restart Project,Laptop medium,Unknown,????,End of life,Restart HQ,2013-10-19,Laptop - Won't boot -,,,
restart_905,The Restart Project,Digital Compact Camera,Unknown,????,Repairable,Restart HQ,2013-10-19,Camera - No power - Needs new part,,,
restart_906,The Restart Project,PC Accessory,Unknown,????,End of life,Restart HQ,2013-10-19,Solar charger - Battery issue - Needed to break it to get inside,,,
restart_907,The Restart Project,PC Accessory,Unknown,????,End of life,Restart HQ,2013-10-19,External HD - No data output - Identified the problem,,,
restart_908,The Restart Project,Headphones,Unknown,????,Fixed,Restart HQ,2013-10-19,Headphones - Faulty jack -,,,
restart_909,The Restart Project,PC Accessory,Unknown,????,Fixed,Restart HQ,2013-10-19,Camera charger - Never worked - Mismatch with the camera,,,
restart_910,The Restart Project,Printer/scanner,Canon,????,Repairable,Restart HQ,2013-10-19,Printer - Adjustment needed - Needs professional adjustment,,,
restart_911,The Restart Project,Mobile,Samsung,????,End of life,Restart HQ,2013-10-19,Mobile - Bricked -,,,
restart_912,The Restart Project,Laptop medium,Apple,????,Fixed,Restart HQ,2013-10-19,Laptop - Battery issue -,,,
restart_913,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2013-10-19,"Laptop - Running slow, battery issues - Running faster",,,
restart_914,The Restart Project,Laptop medium,Dell,????,Fixed,Restart HQ,2013-10-19,Laptop - Won't boot - Installed Linux,,,
restart_915,The Restart Project,Mobile,Apple,????,Repairable,Restart HQ,2013-10-19,Mobile - Screen issue - Not enough time,,,
restart_916,The Restart Project,Laptop medium,Unknown,????,End of life,Restart HQ,2013-10-19,Laptop - Screen issue -,,,
restart_917,The Restart Project,Mobile,Apple,????,End of life,Restart HQ,2013-10-19,Mobile - No SIM card recognition -,,,
restart_918,The Restart Project,Hi-Fi separates,Unknown,????,End of life,Restart HQ,2013-10-19,CD player - Doesn't play - Not enough time,,,
restart_919,The Restart Project,Mobile,Samsung,????,End of life,Restart HQ,2013-10-19,Mobile - Won't boot - Not enough time,,,
restart_920,The Restart Project,Laptop medium,Dell,????,Repairable,Restart HQ,2013-10-19,Laptop - Running slow - Gave a utility,,,
restart_921,The Restart Project,PC Accessory,Unknown,????,End of life,Restart HQ,2013-10-19,"External DVD - Dropped, not reading -",,,
restart_922,The Restart Project,Lamp,Unknown,????,Fixed,Restart HQ,2013-10-19,Lamp - Shorting -,,,
restart_923,The Restart Project,Laptop medium,Dell,????,End of life,Restart HQ,2013-10-19,Laptop - Overheats -,,,
restart_924,The Restart Project,Laptop medium,Packard Bell,????,End of life,Restart HQ,2013-10-19,Laptop - Power in problem -,,,
restart_925,The Restart Project,Laptop medium,HP,????,Repairable,Restart HQ,2013-10-19,Laptop - DVD player broken -,,,
restart_926,The Restart Project,Laptop medium,Acer,????,End of life,Restart HQ,2013-10-19,Laptop - Won't boot -,,,
restart_927,The Restart Project,Laptop medium,Toshiba,????,Fixed,Restart HQ,2013-10-19,Laptop - Won't boot -,,,
restart_928,The Restart Project,Hi-Fi integrated,Samsung,????,Fixed,Restart HQ,2013-11-10,TV - No picture - Midas touch,,,
restart_929,The Restart Project,Hi-Fi integrated,Sharp,????,Fixed,Restart HQ,2013-11-10,Home stereo - CD doesn't read -,,,
restart_930,The Restart Project,Handheld entertainment device,Apple,????,End of life,Restart HQ,2013-11-10,Mp3 player - Screen issue -,,,
restart_931,The Restart Project,Mobile,HTC,????,Fixed,Restart HQ,2013-11-10,Mobile - Firmware issue - Improved,,,
restart_932,The Restart Project,Laptop small,Samsung,????,Fixed,Restart HQ,2013-11-10,Netbook - Power in problem - Soldered or sugrued,,,
restart_933,The Restart Project,Mobile,Samsung,????,Fixed,Restart HQ,2013-11-10,Mobile - Firmware issue -,,,
restart_934,The Restart Project,Desktop computer,Unknown,????,Fixed,Restart HQ,2013-11-10,PC Tower - Power issue, not booting -,,
restart_935,The Restart Project,Hi-Fi separates,Unknown,????,End of life,Restart HQ,2013-11-10,Home stereo - No power -,,,
restart_936,The Restart Project,Hi-Fi separates,JBL,????,Fixed,Restart HQ,2013-11-10,External speakers - No sound -,,,
restart_937,The Restart Project,Handheld entertainment device,Unknown,????,End of life,Restart HQ,2013-11-10,GPS device - Won't boot -,,,
restart_938,The Restart Project,Headphones,Unknown,????,Fixed,Restart HQ,2013-11-10,Headphones - No sound in one channel -,,,
restart_939,The Restart Project,Laptop medium,HP,????,End of life,Restart HQ,2013-11-10,Laptop - No power -,,,
restart_940,The Restart Project,Printer/scanner,HP,????,Repairable,Restart HQ,2013-11-10,Printer - Paper jam error - No time,,,
restart_941,The Restart Project,Laptop medium,Apple,????,Repairable,Restart HQ,2013-11-10,Laptop - Mousepad issue - No time,,,
restart_942,The Restart Project,"Flat screen 32-37""",Samsung,????,Fixed,Restart HQ,2013-11-12,TV - Intermittent fault - Need to followup,,,
restart_943,The Restart Project,Hi-Fi integrated,Unknown,????,Fixed,Restart HQ,2013-11-12,Home stereo - CD doesn't read - Found a work-around,,,
restart_944,The Restart Project,Laptop medium,Apple,????,Fixed,Restart HQ,2013-11-12,Laptop - Keyboard - Got 3 keys bacl,,,
restart_945,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2013-11-12,Laptop - Running slow - Sped up but new RAM advised,,,
restart_946,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2013-11-12,Laptop - Won't boot - More stable,,,
restart_947,The Restart Project,Handheld entertainment device,Apple,????,Repairable,Restart HQ,2013-11-12,Mp3 player - No sound in one channel -,,,
restart_948,The Restart Project,Portable radio,Unknown,????,Fixed,Restart HQ,2013-11-12,Radio - LCD screen -,,,
restart_949,The Restart Project,Laptop medium,Unknown,????,End of life,Restart HQ,2013-11-12,Laptop - Screen issue -,,,
restart_950,The Restart Project,Laptop medium,Unknown,????,End of life,Restart HQ,2013-11-12,Laptop - Overheating -,,,
restart_951,The Restart Project,Laptop medium,Unknown,????,Repairable,Restart HQ,2013-11-12,Laptop - No power - Advice given,,,
restart_952,The Restart Project,Hi-Fi separates,Unknown,????,Fixed,Restart HQ,2013-11-12,Portable stereo - Power in problem -,,,
restart_953,The Restart Project,Hi-Fi separates,Unknown,????,End of life,Restart HQ,2013-11-12,Speaker - Subwoofer resistor -,,,
restart_954,The Restart Project,Small kitchen item,Unknown,????,Fixed,Restart HQ,2013-11-12,Juicer - No power -,,,
restart_955,The Restart Project,Digital Compact Camera,Canon,????,Repairable,Restart HQ,2013-11-12,"Camera - Doesn't focus - Needs spare part, commonly documented defect",,,
restart_956,The Restart Project,Digital Compact Camera,Unknown,????,Repairable,Restart HQ,2013-11-12,Camera - No power - New battery needed,,,
restart_957,The Restart Project,Vacuum,Unknown,????,End of life,Restart HQ,2013-11-12,Sewing machine - Stuck -,,,
restart_958,The Restart Project,PC Accessory,Apple,????,Fixed,Restart HQ,2013-12-07,Mp3 player - No sound in one channel - 3rd time back,,,
restart_959,The Restart Project,Lamp,Unknown,????,Repairable,Restart HQ,2013-12-07,Lamp - Intermittent fault - New switch needed,,,
restart_960,The Restart Project,Laptop medium,Toshiba,????,Repairable,Restart HQ,2013-12-07,Laptop - No power - Needs new power cable,,,
restart_961,The Restart Project,PC Accessory,Unknown,????,End of life,Restart HQ,2013-12-07,Router - No power -,,,
restart_962,The Restart Project,Tablet,Unknown,????,End of life,Restart HQ,2013-12-07,Tablet - screen issue -,,,
restart_963,The Restart Project,Tablet,Unknown,????,Fixed,Restart HQ,2013-12-07,Tablet - screen issue -,,,
restart_964,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2013-12-07,Laptop - Overheating - gave it a good clean,,,
restart_965,The Restart Project,Mobile,Apple,????,Repairable,Restart HQ,2013-12-07,Mobile - Screen issue - needs a new part,,,
restart_966,The Restart Project,Handheld entertainment device,Apple,????,Repairable,Restart HQ,2013-12-07,Mp3 player - No power - No time,,,
restart_967,The Restart Project,Mobile,Unknown,????,Fixed,Restart HQ,2013-12-07,Headphones - Broken jack -,,,
restart_968,The Restart Project,Tablet,BlackBerry,????,Repairable,Restart HQ,2013-12-07,Tablet - USB ports - Needs replacement part,,,
restart_969,The Restart Project,Misc,Unknown,????,Fixed,Restart HQ,2013-12-07,Phone - Not charging -,,,
restart_970,The Restart Project,Printer/scanner,Unknown,????,Fixed,Restart HQ,2013-12-07,Printer - Paper jam error -,,,
restart_971,The Restart Project,Desktop computer,Unknown,????,Fixed,Restart HQ,2013-12-07,PC Tower - No sound, power supply -,,
restart_972,The Restart Project,Laptop medium,Unknown,????,End of life,Restart HQ,2013-12-07,Laptop - Won't boot -,,,
restart_973,The Restart Project,Desktop computer,Unknown,????,Fixed,Restart HQ,2013-12-07,PC Tower - Needed memory upgrade -,,,
restart_974,The Restart Project,Laptop medium,Unknown,????,End of life,Restart HQ,2013-12-07,Laptop - Won't boot - DEAD,,,
restart_975,The Restart Project,Lamp,Unknown,????,End of life,Restart HQ,2013-12-15,Lamp - Intermittent fault -,,,
restart_976,The Restart Project,Decorative or safety lights,Unknown,????,Fixed,Restart HQ,2013-12-15,Christmas lights - Gone out -,,,
restart_977,The Restart Project,Tablet,Apple,????,Repairable,Restart HQ,2013-12-15,Tablet - No power - Lead works, battery problem,,
restart_978,The Restart Project,Laptop medium,Unknown,????,Fixed,Restart HQ,2013-12-15,Laptop - No sound through headphone jack -,,,
