id_ords,data_provider,country,fault_type_id,fault_type,product_category,brand,repair_status,year_of_manufacture,product_age,event_date,repair_barrier_if_end_of_life,problem
anstiftung_1739,anstiftung,DEU,13,Motor,Vacuum,Philips,Unknown,,,2017-12-14,,"Angeblich keine Funktion.  Saugkrafteinstellung war auf ""0"". Nach dem Höherdrehen ging das Gerät. Kein Fehler auffindbar. Wahrschainlich Fehlbedienung."
anstiftung_1772,anstiftung,DEU,15,Power/battery,Vacuum,BEEM,Repairable,,,2019-05-02,,"Die eingebauten Akkus wurden nicht mehr geladen.  Test der NiMH-Akkuzellen - ok. Ladeelektronik - ok.  Das Steckernetzteil lieferte im Leerlauf zwar ausreichend Spannung, brach aber mit angestecktem Staubsauger als Last schnell zusammen. Mit einem neuen Netzteil passender Ausgangsspannung und Ausgangsleistung will der Besitzer die Ladeschale nun entsprechend umbauen. Danach sollte er den Sauger wieder wie gewohnt aufladen und nutzen können."
anstiftung_180,anstiftung,DEU,11,Internal damage,Vacuum,Unknown,Fixed,,,2018-09-08,,Platine defekt
anstiftung_1802,anstiftung,DEU,5,Cable/cord,Vacuum,Bosch,Fixed,,,2019-05-28,,Bodenstaubsauger mit Kabelbruch in der Zuleitung am Netzstecker. Austausch des Steckers - ok
anstiftung_1818,anstiftung,DEU,5,Cable/cord,Vacuum,Unknown,Fixed,,,2018-11-22,,Kabelbruch beseitigt
anstiftung_1821,anstiftung,DEU,7,Dustbag/canister,Vacuum,Siemens,Fixed,,,2018-11-22,,Fusseln und Staub in der Filtertütenkammer. Eingesetzte No-Name-Filtertüten hielten nicht richtig dicht. Originale verwenden
anstiftung_1829,anstiftung,DEU,1,Accessories/attachments,Vacuum,Unknown,Fixed,,,2017-09-14,,"Eine Besucherin hatte die Bodendüse ihres Staubsaugers schon einmal selbst zerlegt, allerdings nicht wieder korrekt zusammengebaut. Dadurch funktionierte die Umschaltung der Bürste nicht richtig. Wir zerlegten das Teil noch einmal und setzten es wieder ordentlich zusammen."
anstiftung_1836,anstiftung,DEU,15,Power/battery,Vacuum,Unknown,End of life,,,2017-08-10,Spare parts not available,"Machte „keinen Mucks“ mehr. Die Akkus hatten keine Spannung mehr, sodass wir vermuteten, sie seien kaputt. Ein manuelles Aufladen mit einem Netzteil (nur zu Testzwecken!) zeigte aber, dass die Zellen doch wieder Ladung aufnahmen. Bei weiteren Untersuchungen stellte sich heraus, dass die Ladeelektronik defekt war. Da war leider nichts zu machen."
anstiftung_1868,anstiftung,DEU,13,Motor,Vacuum,Unknown,Fixed,,,2017-05-11,,"Er hatte den Antrieb schon einmal auseinandergenommen, aber es funktionierte nicht wieder. Wir suchten und fanden die Fehler und bauten das Teil richtig zusammen. Dann ging es auch wieder."
anstiftung_1884,anstiftung,DEU,5,Cable/cord,Vacuum,Unknown,Unknown,,,2017-04-13,,"Er wollte sein Kabel nicht mehr einziehen. Wir wollten das Gerät öffnen und untersuchen, aber der Besitzer entschied sich kurzfristig anders. Er hatte leider keine Zeit mehr und wird uns später noch einmal besuchen."
anstiftung_1888,anstiftung,DEU,13,Motor,Vacuum,Unknown,Fixed,,,2017-03-09,,"Einen bereits zerlegter Staubsauger, der zwar aufgrund eines ausgeschlagenen Motorlagers merkwürdige Geräusche von sich gab, seinen Dienst jedoch noch zufriedenstellend verrichtete, wurde mit unserer Hilfe wieder zusammengebaut."
anstiftung_192,anstiftung,DEU,5,Cable/cord,Vacuum,Miele,Fixed,,,2018-09-08,,Kabelaufwicklung funktioniert nicht
anstiftung_1939,anstiftung,DEU,13,Motor,Vacuum,Unknown,Repairable,,,2016-11-10,,"Der Motor drehte sich nicht. Wir zerlegten das Gerät und schon kam uns ein Entstörkondensator entgegengebröselt. Versuchsweise überbrückten wir das Bauteil und siehe da, der Motor drehte sich wieder. Wenn der Besucher das Ersatzteil besorgt und das nächste Mal wiederkommt, können wir das Gerät fertigstellen."
anstiftung_194,anstiftung,DEU,3,Brush,Vacuum,Vorwerk,Fixed,,,2018-09-08,,Bürste dreht sich nicht mehr
anstiftung_1945,anstiftung,DEU,13,Motor,Vacuum,Unknown,Fixed,,,2016-09-08,,"Drehte sich kein Rad mehr - es waren die Kohlebürsten abgenutzt. Der Besitzer hatte Austauschkohlen mit, aber diese passten nicht ganz. Wir schliffen sie auf das richtige Maß zurecht und bauten sie ein. Der Staubsauger lief wieder, aber die neuen Kohlen müssen erst einmal einlaufen. Der Besucher wird das Gerät zu Hause langsam an die neuen teile gewöhnen."
anstiftung_1947,anstiftung,DEU,15,Power/battery,Vacuum,Unknown,Repairable,,,2019-01-12,,Akku defekt
anstiftung_1979,anstiftung,DEU,2,Blockage,Vacuum,Unknown,Fixed,,,2019-02-09,,verdreckt - Bedienung unklar
anstiftung_2001,anstiftung,DEU,11,Internal damage,Vacuum,Unknown,End of life,,,2019-03-09,,Lagerschaden
anstiftung_2008,anstiftung,DEU,5,Cable/cord,Vacuum,Unknown,Fixed,,,2019-03-09,,Schnurroller defekt
anstiftung_2023,anstiftung,DEU,11,Internal damage,Vacuum,Unknown,Repairable,,,2019-04-13,,"Kurzschluss, Kondensator defekt"
anstiftung_2037,anstiftung,DEU,5,Cable/cord,Vacuum,Miele,Fixed,,,2018-12-06,,Kabelbruch an der Kabeltrommel -  gekürzt und neu angeschlossen.
anstiftung_2058,anstiftung,DEU,13,Motor,Vacuum,Unknown,Repairable,,,2016-06-09,,"machte ungewöhnliche Geräusche und hatte nicht mehr die Leistung wie früher. Wir vermuteten abgenutzte Kohlebürsten, musste aber nach dem Zerlegen feststellen, das die noch gut waren. Das Schaufelrad des Gebläses hatte sich verzogen und schliff am Gehäuse. Leider war es aufgepresst und wir konnten es nicht von der Motorwelle lösen. Der Besitzer war froh über die Hilfe bei der Fehlersuche und will zu Hause weiter an dem Gerät arbeiten."
anstiftung_2071,anstiftung,DEU,13,Motor,Vacuum,Einhell,End of life,,,2018-11-27,,Schaden am Schalter und am Motor - Ersatzteile zu teuer
anstiftung_2118,anstiftung,DEU,5,Cable/cord,Vacuum,Philips,Fixed,,,2018-09-27,,Beim Einrollen der Schnur eine Schlaufe eingezogen.  Wir haben das Gehäuse geöffnet und die Verwirrung gelöst.
anstiftung_2197,anstiftung,DEU,5,Cable/cord,Vacuum,Bosch,Fixed,,,2017-11-28,,Der Kabelaufroller gab nur etwa die Hälfte des Netzkabels her. Wir öffneten das Gerät und stellten eine Verklemmung durch eine unglücklich liegende Kabelschlaufe fest. Die entstand wohl durch zu rasches Aufwickeln auf die Trommel. Das Problem konnte schnell gelöst und das Kabel danach wieder ordentlich aufgerollt werden. Der Sauger ist nun wieder mit dem gewohnten Aktionsradius nutzbar.
anstiftung_2199,anstiftung,DEU,13,Motor,Vacuum,Vorwerk,Repairable,,,2017-11-28,,"Lief offenbar nicht mehr ganz rund. Der Elektromotor drehte nur sehr unruhig und mit unregelmäßigen Aussetzern. Das deutete auf abgenutzte Bürstenkohlen oder gar einen Defekt an den Rotorwicklungen hin. Aufgrund des äußerst kompakten Designs gestalteten sich Zerlegung und Zusammenbau recht kompliziert und waren dementsprechend zeitraubend. Da sich der Motor selbst nicht auseinandernehmen ließ, mussten wir uns bei der Fehlersuche auf die Untersuchung der Schleifbürsten und Zuleitungskontakte sowie eine Sichtprüfung des Kommutators beschränken. Der abschließende Funktionstest war allerdings nicht erfolgreich. Nach unserer Einschätzung wird es wohl auf einen Tausch des gesamten Motors hinauslaufen. Der Besitzer erwägt nun, ob sich dies für ihn lohnt. Vielleicht kann er auf dem Wertstoffhof günstig einen passenden Ersatz beschaffen."
anstiftung_2213,anstiftung,DEU,8,External damage,Vacuum,Unknown,Fixed,,,2017-11-02,,"Es war der Anschlussstutzen für das Saugrohr gebrochen. Mit Zweikomponentenkleber und ein wenig Geduld wurde die Bruchstelle an diesem Kunststoffteil geklebt, sodass es nach dem vollständigen Aushärten hoffentlich wieder seinen Dienst tun sollte."
anstiftung_223,anstiftung,DEU,2,Blockage,Vacuum,Severin,Fixed,,,2018-09-22,,läuft aber saugt nicht mehr
anstiftung_2258,anstiftung,DEU,13,Motor,Vacuum,Dirt Devil,Fixed,,,2018-09-06,,"Am Elektromotor des „Dirt Devil“ Staubsaugers konnten wir nach dem Eintreffen der Ersatzteile nun endlich die Schleifkontakte erneuern. Beim ersten Test lief der Motor allerdings noch etwas unruhig, da sich die Kohlen am Kommutator erst noch etwas einschleifen müssen, bis ein sauberer Kontakt mit niedrigem Übergangswiderstand vorliegt. Der Besitzer wird den Staubsauger zu Hause weiter betreiben und beobachten."
anstiftung_2259,anstiftung,DEU,13,Motor,Vacuum,dyson,Repairable,,,2018-09-06,,Bodendüse mit rotierender Teppichbürste machte im Betrieb Klopfgeräusche - verbogene Antriebswelle
anstiftung_2261,anstiftung,DEU,5,Cable/cord,Vacuum,Eio,Fixed,,,2018-09-06,,Wackelkontakt am Stecker - Austausch
anstiftung_227,anstiftung,DEU,13,Motor,Vacuum,dyson,End of life,,,2018-09-22,,Motor defekt?
anstiftung_2343,anstiftung,DEU,11,Internal damage,Vacuum,Unknown,Fixed,,,2017-05-04,,Fortsetzung vom 13.10.2016 (RepairCafé Freital): Es konnte nun der defekte Entstörkondensator gewechselt werden. Jetzt läuft er wieder wie gewohnt.
anstiftung_2350,anstiftung,DEU,5,Cable/cord,Vacuum,Unknown,Fixed,,,2017-04-20,,"Den hatte der Besucher schon selbst demontiert und brachte nur die elektrischen Teile mit. Wir haben das Anschlusskabel auf Durchgang geprüft, eine Ader hatte keinen. Da die Isolation des Kabels an einer Stelle an der Kabeltrommel beschädigt war, haben wir das Kabel dort gekürzt und neu angeschlossen. Die Unterbrechung danach immer noch da, sodass wir dann noch den Stecker gewechselt haben."
anstiftung_2387,anstiftung,DEU,13,Motor,Vacuum,Unknown,End of life,,,2017-02-28,Spare parts not available,Roch sehr brenzlig. Der Motor erzeugte ein sehr starkes Bürstenfeuer. Grund ist vermutlich eine defekte Ankerwicklung.
anstiftung_2401,anstiftung,DEU,11,Internal damage,Vacuum,Unknown,Repairable,,,2017-01-24,,"Er sagte keinen Mucks mehr. Stecker, Zuleitung, Kontaktübergabe am Kabelaufroller – alles in Ordnung. Auf einer Platine fanden wir dann einen defekten Thyristor für die Motoransteuerung. Diesen haben wir ausgelötet und die Leiterbahn derweil überbrückt. Damit funktioniert er erst einmal wieder. Wenn der Besitzer mit einem Ersatzteil wiederkommt, können wir die Drehzahl-/Leistungssteuerung wieder in Betrieb nehmen."
anstiftung_242,anstiftung,DEU,15,Power/battery,Vacuum,Black & Decker,Repairable,,,2018-09-22,,"ohne Funktion, Stromversorgung bzw. Aufladestation defekt?"
anstiftung_2435,anstiftung,DEU,13,Motor,Vacuum,Kirby,Repairable,,,2016-11-03,,"Er lief nicht mehr mit voller Leistung, hatte Aussetzer. Wir habeen abgenutzte Kohlen festgestellt. Wenn neue beschafft sind, werden wir durch den Austausch das Problem beheben."
anstiftung_2455,anstiftung,DEU,5,Cable/cord,Vacuum,Unknown,Fixed,,,2016-09-26,,"Er funktionierte nicht mehr, d. h. beim ersten Einschalten zuckte er nur kurz, als wolle er anlaufen, blieb dann aber stehen. Nachdem wir ihn auseinandergenommen hatten, prüften wir den Durchgang vom Stecker bis zum Motor und stellten eine Unterbrechung in der Netzzuleitung fest. Bei genauerer Betrachtung des Steckers konnte man Rußspuren erkennen - der Stecker war defekt. Wir bauten das Gerät wieder zusammen und wechselten den Stecker."
anstiftung_2472,anstiftung,DEU,13,Motor,Vacuum,Unknown,Repairable,,,2016-08-18,,"Er funktionierte nach wenigen Jahren nicht mehr richtig. Er machte „brutzelnde“ Geräusche, es roch verbrannt und der Motor stotterte. Nach dem Auseinandernehmen stellten wir starkes Bürstenfeuer fest. Wir demontierten die Kohlebürsten, von denen nicht mehr viel übrig war."
anstiftung_2476,anstiftung,DEU,13,Motor,Vacuum,Unknown,Repairable,,,2016-08-18,,"Es drehte sich kein Rad mehr. Er soll vor dem Ausfall auch sehr laute Geräusche gemacht haben. Nach der Demontage sahen wir auch hier abgenutzte Kohlebürsten, aber zusätzlich war noch die Motorwelle blockiert. Mehrmaliges Hin- und Herbewegen machte sie zwar wieder drehbar, aber wir vermuten einen Lagerschaden. Hier geht es beim nächsten Mal weiter."
anstiftung_2496,anstiftung,DEU,5,Cable/cord,Vacuum,Unknown,Fixed,,,2016-06-16,,"Funktionierte nicht mehr. Wir stellten nach der Demontage einen Kabelbruch im Aufwickler fest. Nachdem wir das Kabel neu angeschlossen hatten, ging er wieder tadellos."
anstiftung_2505,anstiftung,DEU,13,Motor,Vacuum,Unknown,Fixed,,,2016-06-02,,"Staubsauger hatte Wasser gezogen, an dem er sich dann stark verschluckte. Der Motor drehte sich nicht mehr. Wir nahmen das Gerät auseinander, was sich sehr aufwendig gestaltete, und stellten fest, dass die Führung der Kohlen verklebt war, sodass sie nicht mehr auf den Kollektor gedrückt wurden. Alle Eisenteile im Motor waren zudem stark angerostet. Wir machten die Kohlehalterungen wieder gängig und reinigten den Kollektor. Danach ging der Motor wieder. Leider schafften wir es nicht mehr, das Gerät zusammenzubauen. Das übernimmt nun der Besitzer zu Hause."
anstiftung_251,anstiftung,DEU,4,Button/switch,Vacuum,Unknown,Fixed,,,2018-09-29,,Schalter defekt?
anstiftung_2582,anstiftung,DEU,25,Poor data,Vacuum,Unknown,Repairable,,,2015-11-05,,"Er lief nur noch, wenn ein an ihn angeschlossenes Gerät betrieben wurde. Ein Solo-Betrieb war nicht mehr möglich. Wir haben die Steuerungsschaltung untersucht und die Schalter kontrolliert, konnten den Fehler aber aufgrund der fehlenden Zeit nicht finden. Beim nächsten Mal könnten wir weitermachen."
anstiftung_2587,anstiftung,DEU,11,Internal damage,Vacuum,Unknown,Fixed,,,2015-10-15,,"Saugte nicht mehr. Beim Zerlegen überprüften wir alle Steckverbindungen und steckten sie neu, dann ging er wieder. War wohl ein Kontaktproblem."
anstiftung_2593,anstiftung,DEU,15,Power/battery,Vacuum,Black & Decker,Repairable,2009,6.0,2015-10-01,,"Er ließ sich nicht mehr aufladen. Wir haben die Akkus überprüft. Mehrere Zellen waren defekt und ließen sich nicht mehr aufladen. Leider ist die Empfehlung des Herstellers in diesem Fall, das Gerät fachgerecht zu entsorgen, was völlig unnötig ist! Wenn der Besitzer mit den nachgekauften Akkuzellen wiederkommt, können wir das Akkupack austauschen und das Gerät reparieren."
anstiftung_2623,anstiftung,DEU,11,Internal damage,Vacuum,Unknown,Repairable,,,2015-06-04,,"Es lag ein Wasserschaden vor und der Motor tat nichts mehr. Wir haben das Gerät auseinandergenommen und den Motor untersucht. Leider lag ein Kurzschluss vor, der sich nicht beheben ließ. Der Besucher schaut sich nach einem Ersatzmotor um und wenn das klappt, können wir den Staubsauger wiederbeleben."
anstiftung_2630,anstiftung,DEU,13,Motor,Vacuum,Bosch,Repairable,,,2015-05-21,,"Der Motor drehte sich nicht mehr. Wir haben ihn komplett freigelegt und dabei bemerkt, dass der Statorkorb verzogen war - leider irreparabel. Wir haben noch den Tipp gegeben, auf einem Wertstoffhof nach einem vergleichbaren Gerät zu fragen, um kostengünstig an einen Austauschmotors zu kommen."
anstiftung_2653,anstiftung,DEU,5,Cable/cord,Vacuum,Unknown,Repairable,,,2015-03-05,,"Hier konnten wir einen Kabelbruch am Netzstecker finden und werden es beim nächsten Mal reparieren, wenn ein neuer Stecker vorhanden ist."
anstiftung_2655,anstiftung,DEU,2,Blockage,Vacuum,Unknown,Fixed,,,2015-03-05,,Er hatte nicht mehr die gewohnte Leistung. Nach eingehender Fehlersuche konnte eine verstopfte Bodendüse ausgemacht werden. Nach intensiver Reinigung des Geräts saugte es wieder wie früher.
anstiftung_2774,anstiftung,DEU,11,Internal damage,Vacuum,AEG,Fixed,,,2018-08-05,,"Keinerlei Funktion - schon die Zerlegung stellte sich wegen einiger unter Plastikkappen versteckter Gehäuseschrauben als echte Herausforderung heraus und dauerte entsprechend länger. Nachdem wir uns aber bis zum Elektromotor und der Steuerelektronik vorgearbeitet hatten, war der Rest dann fast schon Routine: Durchgangsprüfung von Kabel und Netzzuleitung sowie Widerstandsmessungen am Motor, wobei Letztere auf einen Defekt hindeuteten. Bei genauerer Suche entdeckten wir einen Drahtriss an der Kontaktstelle zur Statorspule, der durch Anlöten zu beheben war. Hinterher lief er dann wieder wie eh und je."
anstiftung_2782,anstiftung,DEU,13,Motor,Vacuum,Dirt Devil,Repairable,,,2018-08-02,,Problem am Elektromotor - zwei völlig abgenutzte Bürstenkohlen Ersatz wird bestellt
anstiftung_2808,anstiftung,DEU,13,Motor,Vacuum,Dirt Devil,Repairable,,,2018-07-26,,"Mit einem neuen Triac machten wir uns daran, die Reparatur des „Dirt Devil DD 2200“ Staubsaugers vom letzten Gruna-Termin fortzusetzen. Der Austausch brachte jedoch nicht den gewünschten Erfolg, weshalb wir erneut auf Fehlersuche gingen und dabei insbesondere den Elektromotor genauer in den Blick nahmen. Seltsamerweise ließ sich an dessen Kontakten in keiner Rotorposition ein Widerstand messen, was unserer Vermutung nach auf eine verklemmte Bürstenkohle hindeutet. Eine genauere Inspektion musste allerdings auf den nächsten Termin vertagt werden, da sich der Abend an dieser Stelle bereits dem Ende neigte."
anstiftung_2837,anstiftung,DEU,11,Internal damage,Vacuum,Dirt Devil,Repairable,,,2018-06-28,,"Der Staubsauger verweigerte seinen Dienst und zeigte keinerlei Reaktion auf unsere Einschaltversuche. Wir kontrollierten das Zuleitungskabel und alle Verbindungen im Inneren, maßen die Spannung an der Steuerbaugruppe und prüften verschiedene Bauteile sowie den Elektromotor auf bekannte Defekte. Der Verdacht fiel schließlich auf den Triac, welcher für die Motorsteuerung zuständig ist. Ein Neuer wird bestellt und die Reparatur beim nächsten Mal fortgesetzt."
anstiftung_2856,anstiftung,DEU,11,Internal damage,Vacuum,Privileg,Fixed,,,2018-02-01,,"Er ging nicht mehr an. Wir untersuchten die Elektronik genauer einen Triac, der für die Drehzahlsteuerung des Motors zuständig ist. Der war OK. Wie es sich herausstellte, hatte das Gerät ein wesentlich simpleres Problem: einer kalten Lötstelle auf der Platine, die im Handumdrehen nachgelötet war, sowie einem verschmutzten Mikroschalter, dessen Kontakte mit einem Glasfaserpinsel und etwas Alkohol gereinigt wurden. Hiernach zeigte sich der Staubsauger dann wieder so agil wie eh und jeh."
anstiftung_2861,anstiftung,DEU,5,Cable/cord,Vacuum,Unknown,Fixed,,,2018-02-01,,"Das Netzkabel war voll heraus gezogen und das Gerät zog es nicht mehr ein. Das Gerät wurde geöffnet, die Kabeltrommel ausgebaut und der Rückstellmechanismus entriegelt. Anschließend konnte das Kabel wieder komplett aufgewickelt werden. Wir empfahlen, es in Zukunft nicht mehr bis zum Anschlag herauszuziehen, um dem Mechanismus ein Wiederaufrollen zu ermöglichen."
anstiftung_288,anstiftung,DEU,25,Poor data,Vacuum,Unknown,Fixed,,,2018-04-21,,defekt
anstiftung_2893,anstiftung,DEU,25,Poor data,Vacuum,Philips,Fixed,,,2018-06-07,,Abschluss der Reparatur vom letzten Male - Daheim war er offenbar am Zusammenbau des Gerätes gescheitert und benötigte hierbei noch einmal unsere Hilfe. Gemeinsam setzten wir alles zusammen und konnten die Reparatur somit zu einem gelungenen Abschluss bringen.
anstiftung_2900,anstiftung,DEU,14,Overheating,Vacuum,Dirt Devil,End of life,,,2018-05-03,Spare parts not available,Mehrere Wicklungen im Motor durchgebrannt
anstiftung_2903,anstiftung,DEU,2,Blockage,Vacuum,Miele,Fixed,,,2018-05-03,,"Keine Saugleistung -  nach genauerer Begutachtung stellten wir fest, dass hier offenbar schon jemand dran gewesen war und ein Taschentuch vor den Filter ins Saugrohr geklemmt hatte. Kein Wunder also, dass die Saugleistung zu gering war. Ohne die Verstopfung lief er wieder tadellos."
anstiftung_2933,anstiftung,DEU,13,Motor,Vacuum,Philips,Repairable,,,2018-05-24,,"Der Motor des Staubsaugers „performte“ nicht mehr ganz so zuverlässig und ging mitunter auch gar nicht mehr. Bei genauerer Betrachtung fiel auf, dass der Kommutator verschmutzt und die Bürstenkohlen in ihren Führungen verklemmt waren, sodass an dieser Stelle nur ein unzureichender elektrischer Kontakt zustande kam. Nach einer gründlichen Reinigung lief der Motor dann wieder tadellos. Da sich der Abend hier bereits dem Ende neigte, blieb für den Zusammenbau des Staubsaugers keine Zeit. Der Besitzer wird dies daher daheim alleine versuchen oder beim nächsten Mal wiederkommen."
anstiftung_2987,anstiftung,DEU,2,Blockage,Vacuum,Unknown,Fixed,,,2018-04-05,,"Störende Betriebsgeräusche und nachlassende Saugleistung waren der Grund, weswegen ein Saugroboter zu uns gebracht wurde. Nach der Zerlegung befreiten wir ihn von größeren Staubflusen und reinigten ihn gründlich. Hinterher surrte er auf gewohnt leise Weise und saugte einige Runden über den Fußboden im Vereinshaus."
anstiftung_301,anstiftung,DEU,4,Button/switch,Vacuum,Bosch,Fixed,,,2018-10-20,,Ein- / Ausschalter hat einen Wackelkontakt - Staubsauger geht beim Saugen dauernd aus.
anstiftung_3020,anstiftung,DEU,4,Button/switch,Vacuum,Fakir,Fixed,,,2018-03-15,,"Einem „Farkir“ Saugroboter war die Arbeit wohl zu viel gewesen und er streikte. Allerdings litt dieser nicht an allgemeiner Arbeitsunlust, sondern unter einem defekten Hauptschalter. Dieser wurde ausgebaut, gereinigt und wieder eingebaut. Jetzt läuft er wieder und saugt dem Besitzer alle Krümel vom Boden."
anstiftung_3021,anstiftung,DEU,5,Cable/cord,Vacuum,Unknown,Fixed,,,2018-03-15,,Ein Krümelfresser namens „Omega“ versagte ebenfalls die Arbeit – dieser litt aber an einem Kabelbruch in der Zuleitung. Nach einem Kürzen der Leitung lief er wieder.
