id,data_provider,country,language,product_category,brand,model,year_of_manufacture,repair_status,group_identifier,date,problem,
fixitclinic_25,Fixit Clinic,USA,English,Misc,Singer ,Featherweight ,2009,Fixed,Fixit Clinic,2019-01-29,"Needs new belt installed, oiled, adjusted, cleaned ",
fixitclinic_26,Fixit Clinic,USA,English,Laptop small,Microsoft ,EEE,2009,Repairable,Fixit Clinic,2019-01-29,Computer time still being addressed. ,
fixitclinic_27,Fixit Clinic,USA,English,TV and gaming-related accessories,Sens,Unknown,????,Unknown,Fixit Clinic,2019-01-29,Remote not working with DVD ,
fixitclinic_28,Fixit Clinic,USA,English,Misc,Kenmore ,385 - 16130200,2009,Fixed,Fixit Clinic,2019-01-29,Needs a cleaning,
fixitclinic_29,Fixit Clinic,USA,English,Misc,Kenmore,Unknown,????,Fixed,Fixit Clinic,2019-01-29,Bobbin won't work ,
fixitclinic_30,Fixit Clinic,USA,English,Hi-Fi separates,Unknown,Unknown,2009,Repairable,Fixit Clinic,2019-01-29,Stopped working ,
fixitclinic_31,Fixit Clinic,USA,English,Misc,Singer ,758,2010,Repairable,Fixit Clinic,2019-01-29,Problem with bobbin lines,
fixitclinic_32,Fixit Clinic,USA,English,Misc,Unknown,Unknown,2009,Fixed,Fixit Clinic,2019-01-29,Earrings need repair,
fixitclinic_33,Fixit Clinic,USA,English,Misc,Unknown,Unknown,2009,Fixed,Fixit Clinic,2019-01-29,,
fixitclinic_34,Fixit Clinic,USA,English,Misc,Regina,Unknown,????,Fixed,Fixit Clinic,2019-01-29,Electrical connectors broken,
fixitclinic_35,Fixit Clinic,USA,English,Fan,Allaire,Unknown,2010,Fixed,Fixit Clinic,2019-01-29,Will not turn on ,
fixitclinic_36,Fixit Clinic,USA,English,Misc,IKEA,Unknown,2014,Fixed,Fixit Clinic,2019-01-29,Top part loose - wobbles and squeaks ,
fixitclinic_37,Fixit Clinic,USA,English,Lamp,Unknown,Unknown,2010,Fixed,Fixit Clinic,2019-01-29,turn on/off switch broken ,
fixitclinic_38,Fixit Clinic,USA,English,Misc,n/a,n/a,????,Fixed,Fixit Clinic,2019-01-29,Needs repair at closer ,
fixitclinic_39,Fixit Clinic,USA,English,Misc,N/A,N/A,2009,Fixed,Fixit Clinic,2019-01-29,Needs a way to stay closed ,
fixitclinic_40,Fixit Clinic,USA,English,Lamp,Unknown,Unknown,2009,Fixed,Fixit Clinic,2019-01-29,Switch,
fixitclinic_41,Fixit Clinic,USA,English,Lamp,Unknown,Unknown,2009,Fixed,Fixit Clinic,2019-01-29,Switch,
fixitclinic_42,Fixit Clinic,USA,English,Misc,Unknown,Unknown,2009,Fixed,Fixit Clinic,2019-01-29,Broken support,
fixitclinic_43,Fixit Clinic,USA,English,Misc,Singer,unknown,????,Fixed,Fixit Clinic,2019-01-29,Clunking,
fixitclinic_44,Fixit Clinic,USA,English,Decorative or safety lights,Unknown,N/A,2018,Fixed,Fixit Clinic,2019-01-29,Broken ,
fixitclinic_45,Fixit Clinic,USA,English,Misc,oak,Unknown,????,Fixed,Fixit Clinic,2019-01-29,Wrong size for picture ,
fixitclinic_46,Fixit Clinic,USA,English,Lamp,on/off switch,Unknown,????,Repairable,Fixit Clinic,2019-01-29,ON/OFF Switch,
fixitclinic_47,Fixit Clinic,USA,English,Misc,Unknown,Unknown,????,Fixed,Fixit Clinic,2019-01-29,Needed mending ,
fixitclinic_48,Fixit Clinic,USA,English,Misc,Carlton,1995,2010,Fixed,Fixit Clinic,2019-01-29,Wheel not rolling,
fixitclinic_49,Fixit Clinic,USA,English,Lamp,N/A,Handmade,????,Fixed,Fixit Clinic,2019-01-29,Chain didn't pull to turn light on ,
fixitclinic_50,Fixit Clinic,USA,English,Misc,IKEA,Two years ago,2017,Fixed,Fixit Clinic,2019-01-29,Jammed,
fixitclinic_51,Fixit Clinic,USA,English,Misc,25 Years ago,Unknown,2009,Fixed,Fixit Clinic,2019-01-29,,
fixitclinic_52,Fixit Clinic,USA,English,Tablet,Samsung,SM-7377A,????,Repairable,Fixit Clinic,2019-02-01,,
fixitclinic_53,Fixit Clinic,USA,English,Lamp,none listed,none listed,2009,Repairable,Fixit Clinic,2019-02-01,The lamp suddenly stopped lighting up for any bulb put in it. It shows no external signs of loose wires or a malfunctioning switch.  The symptom is consistent every time an attempt is made to turn it on. ,
fixitclinic_54,Fixit Clinic,USA,English,Misc,Unknown,Unknown,2009,Repairable,Fixit Clinic,2019-02-01,ripped,
fixitclinic_55,Fixit Clinic,USA,English,Misc,?,Unknown,????,Fixed,Fixit Clinic,2019-02-02,,
fixitclinic_56,Fixit Clinic,USA,English,Misc,N/A,N/A,????,Repairable,Fixit Clinic,2019-02-02,,
fixitclinic_57,Fixit Clinic,USA,English,Small kitchen item,gourmia,GPC400,????,Fixed,Fixit Clinic,2019-02-02,,
fixitclinic_58,Fixit Clinic,USA,English,Portable radio, Red Cross Eton,solar power,2009,Repairable,Fixit Clinic,2019-02-02,the tuner knob does not advance or reverse the station frequency,
fixitclinic_59,Fixit Clinic,USA,English,Vacuum,Deik,ZB1516,????,Fixed,Fixit Clinic,2019-02-02,,
fixitclinic_60,Fixit Clinic,USA,English,Paper shredder,Royal,HG12X,????,Fixed,Fixit Clinic,2019-02-02,,
fixitclinic_61,Fixit Clinic,USA,English,Misc,Whirlpool,N/A,????,Fixed,Fixit Clinic,2019-02-02,,
fixitclinic_62,Fixit Clinic,USA,English,Vacuum,Hoover,Windtunnel,????,Repairable,Fixit Clinic,2019-02-02,,
fixitclinic_63,Fixit Clinic,USA,English,TV and gaming-related accessories,Sony,Unknown,????,Fixed,Fixit Clinic,2019-02-02,,
fixitclinic_64,Fixit Clinic,USA,English,Misc,Unknown,Unknown,????,Fixed,Fixit Clinic,2019-02-02,,
fixitclinic_65,Fixit Clinic,USA,English,Lamp,Unknown,Unknown,????,Repairable,Fixit Clinic,2019-02-02,,
fixitclinic_66,Fixit Clinic,USA,English,Laptop medium,toshiba,Satellite C55Dt-B5128,????,Fixed,Fixit Clinic,2019-02-02,,
fixitclinic_67,Fixit Clinic,USA,English,Portable radio,Sears,564.242508,????,Fixed,Fixit Clinic,2019-02-02,,
fixitclinic_68,Fixit Clinic,USA,English,Misc,Unknown,Unknown,????,Repairable,Fixit Clinic,2019-02-02,,
fixitclinic_69,Fixit Clinic,USA,English,Digital Compact Camera,Cannon,ELPH SD 1200,????,Repairable,Fixit Clinic,2019-02-02,,
fixitclinic_70,Fixit Clinic,USA,English,Small kitchen item,Breville,B0V800XL,????,Repairable,Fixit Clinic,2019-02-02,,
fixitclinic_71,Fixit Clinic,USA,English,Power tool,Dewalt,orbital sander,????,Repairable,Fixit Clinic,2019-02-02,,
fixitclinic_72,Fixit Clinic,USA,English,Desktop computer,Apple,Macbook Pro,????,Repairable,Fixit Clinic,2019-02-02,,
fixitclinic_73,Fixit Clinic,USA,English,Vacuum,Shark,Unknown,????,Fixed,Fixit Clinic,2019-02-02,,
fixitclinic_74,Fixit Clinic,USA,English,Small kitchen item,Kenmore,Unknown,????,End of life,Fixit Clinic,2019-02-02,,
fixitclinic_75,Fixit Clinic,USA,English,Misc,toyota,tundra,????,Fixed,Fixit Clinic,2019-02-02,,
fixitclinic_76,Fixit Clinic,USA,English,Misc,Unknown,Unknown,????,Repairable,Fixit Clinic,2019-02-02,,
fixitclinic_77,Fixit Clinic,USA,English,Lamp,Unknown,Unknown,????,Fixed,Fixit Clinic,2019-02-02,,
fixitclinic_78,Fixit Clinic,USA,English,Laptop medium,Dell,P28F,????,Fixed,Fixit Clinic,2019-02-10,,
fixitclinic_79,Fixit Clinic,USA,English,Misc,Disney,unknowen,????,Fixed,Fixit Clinic,2019-02-11,,
fixitclinic_80,Fixit Clinic,USA,English,Hair & Beauty item,HerStyler,Unknown,????,Fixed,Fixit Clinic,2019-02-12,There was no heat.,
fixitclinic_81,Fixit Clinic,USA,English,Misc,Unknown,Unknown,????,Repairable,Fixit Clinic,2019-02-13,Leg broke off in one piece though,
fixitclinic_82,Fixit Clinic,USA,English,Misc,Home Touch,Unknown,????,Fixed,Fixit Clinic,2019-02-13,Reset button wouldn't shut off,
fixitclinic_83,Fixit Clinic,USA,English,Small kitchen item,Cuisinesrt,TOB - 40,2016,End of life,Fixit Clinic,2019-02-13," Lower two heating elements no longer heating, no longer straight, but crooked ",
fixitclinic_85,Fixit Clinic,USA,English,Desktop computer,Apple,MacBook Pro ,2014,Repairable,Fixit Clinic,2019-03-02,Mouse get stuck on start up screen and could not log in or do anything. Keep board is not responding either ,
fixitclinic_86,Fixit Clinic,USA,English,Misc,Reliable,Brio 250cc,????,Fixed,Fixit Clinic,2019-03-02,,
fixitclinic_87,Fixit Clinic,USA,English,Lamp,Unknown ,Unknown,????,Repairable,Fixit Clinic,2019-03-02,,
fixitclinic_88,Fixit Clinic,USA,English,Misc,Holmes and Lasko,Unknown,????,Repairable,Fixit Clinic,2019-03-02,,
fixitclinic_89,Fixit Clinic,USA,English,Small kitchen item,Hamilton beach,Unknown,????,Fixed,Fixit Clinic,2019-03-02,,
fixitclinic_90,Fixit Clinic,USA,English,Hi-Fi separates,Sony,TC152,????,Fixed,Fixit Clinic,2019-03-02,,
fixitclinic_91,Fixit Clinic,USA,English,Misc,not stated,not stated,????,Repairable,Fixit Clinic,2019-03-02,,
fixitclinic_92,Fixit Clinic,USA,English,Misc,Unknown,Unknown,????,Repairable,Fixit Clinic,2019-03-03,,
fixitclinic_93,Fixit Clinic,USA,English,Laptop medium,Lenovo,Unknown,????,Fixed,Fixit Clinic,2019-03-03,,
fixitclinic_94,Fixit Clinic,USA,English,Small kitchen item,KitchenAid,Unknown,????,Repairable,Fixit Clinic,2019-03-03,,
fixitclinic_95,Fixit Clinic,USA,English,Misc,Unknown,Unknown,????,Repairable,Fixit Clinic,2019-03-03,wobbly,
fixitclinic_96,Fixit Clinic,USA,English,Hi-Fi separates,Denon,Unknown ,????,Fixed,Fixit Clinic,2019-03-03,,
fixitclinic_98,Fixit Clinic,USA,English,Misc,Homedics,SS-2000,????,End of life,Fixit Clinic,2019-03-04,,
fixitclinic_99,Fixit Clinic,USA,English,Misc,Ricco,"Not sure, unable to locate",????,End of life,Fixit Clinic,2019-03-04,,
fixitclinic_100,Fixit Clinic,USA,English,Misc,unknown,unknown,????,Fixed,Fixit Clinic,2019-03-07,,
fixitclinic_101,Fixit Clinic,USA,English,Small kitchen item,Mr. Coffee,DRX5,2011,Repairable,Fixit Clinic,2019-03-09,Lid hinge broke and will not stay on.,
fixitclinic_102,Fixit Clinic,USA,English,Portable radio,Kenwood,MC-45DM,2009,Repairable,Fixit Clinic,2019-03-09,the button does not press crisply,
fixitclinic_104,Fixit Clinic,USA,English,Small kitchen item,black and decker,not sure,????,Fixed,Fixit Clinic,2019-03-09,,
fixitclinic_105,Fixit Clinic,USA,English,Toy,Pacific Cycle,R6766,2009,Repairable,Fixit Clinic,2019-03-09,Broken seat on tricycle,
fixitclinic_106,Fixit Clinic,USA,English,TV and gaming-related accessories,Sony,EVS 550,2009,Repairable,Fixit Clinic,2019-03-21,Tape won't eject,
fixitclinic_107,Fixit Clinic,USA,English,Hair & Beauty item,Chi,Unknown,????,End of life,Fixit Clinic,2019-03-24,,
fixitclinic_108,Fixit Clinic,USA,English,Misc,"LifeMost Technology Co., Ltd.",AP155,????,Fixed,Fixit Clinic,2019-03-31,,
fixitclinic_109,Fixit Clinic,USA,English,Misc,Singer,6215C,????,Repairable,Fixit Clinic,2019-03-31,,
fixitclinic_110,Fixit Clinic,USA,English,Misc,? from Budget Blinds,Unknown,????,Repairable,Fixit Clinic,2019-03-31,,
fixitclinic_111,Fixit Clinic,USA,English,Lamp,Forgot-got tossed,table model,????,Unknown,Fixit Clinic,2019-03-31,,
fixitclinic_113,Fixit Clinic,USA,English,Lamp,ott,not indicated,????,Fixed,Fixit Clinic,2019-04-01,,
fixitclinic_114,Fixit Clinic,USA,English,Lamp,unknown,unknown,2009,Fixed,Fixit Clinic,2019-04-01,cat knocked it over-loose parts,
fixitclinic_115,Fixit Clinic,USA,English,Misc,Kenmore,Unknown,????,Fixed,Fixit Clinic,2019-04-01,,
fixitclinic_116,Fixit Clinic,USA,English,Lamp,Don't know,None,2009,Repairable,Fixit Clinic,2019-04-08,Switches do not turn on lights,
fixitclinic_117,Fixit Clinic,USA,English,Misc,Swatch ,Unknown,2017,Fixed,Fixit Clinic,2019-04-09,"Stop running, think it needs new battery",
fixitclinic_119,Fixit Clinic,USA,English,Laptop medium,DELL,Unknown,????,Unknown,Fixit Clinic,2019-04-20,Broken,
fixitclinic_120,Fixit Clinic,USA,English,Misc,philips,unknown,2009,Repairable,Fixit Clinic,2019-04-21,clock mechanism (movement) broken,
fixitclinic_121,Fixit Clinic,USA,English,Misc,Morley,BFW (Black Gold Fuzz Wah Volume),????,Fixed,Fixit Clinic,2019-04-23,,
fixitclinic_122,Fixit Clinic,USA,English,Tablet,Apple,a1474,????,Repairable,Fixit Clinic,2019-04-23,,
fixitclinic_123,Fixit Clinic,USA,English,Misc,FitBit,Alta,2016,Fixed,Fixit Clinic,2019-04-23,The band would not stay intact.,
fixitclinic_124,Fixit Clinic,USA,English,Toy,Schylling,Unknown,2018,Fixed,Fixit Clinic,2019-04-28,Toy does not function with clown not popping out,
fixitclinic_125,Fixit Clinic,USA,English,Misc,Lazy Boy,Unknown,????,Repairable,Fixit Clinic,2019-04-30,wiring disconnected from remote control,
fixitclinic_126,Fixit Clinic,USA,English,Hair & Beauty item,Hitachi,Unknown,????,Fixed,Fixit Clinic,2019-05-01,,
fixitclinic_127,Fixit Clinic,USA,English,Misc,Unknown,Unknown,????,Fixed,Fixit Clinic,2019-05-07,,
fixitclinic_128,Fixit Clinic,USA,English,Lamp,Unknown,Ceramic rooster on wooden base,????,Repairable,Fixit Clinic,2019-05-09,,
fixitclinic_129,Fixit Clinic,USA,English,Lamp,Husky,K-46xx51 (not legible),????,Fixed,Fixit Clinic,2019-05-11,Won't light, bad power cord
fixitclinic_130,Fixit Clinic,USA,English,Small kitchen item,Hamilton Beach Scovill,415   130-260 watts,2009,Repairable,Fixit Clinic,2019-05-15,no longer heats when plugged in,
fixitclinic_131,Fixit Clinic,USA,English,Small kitchen item,Kenwood,901E,????,Repairable,Fixit Clinic,2019-05-16,,
fixitclinic_132,Fixit Clinic,USA,English,Misc,Intex,Unknown,????,End of life,Fixit Clinic,2019-05-17,,
fixitclinic_133,Fixit Clinic,USA,English,Musical instrument,Ensoniq,ZR 76,2009,Fixed,Fixit Clinic,2019-05-17,"Middle C# wouldn't sound properly, no velocity control, always full volume.",
fixitclinic_134,Fixit Clinic,USA,English,Small kitchen item,Krups,XP2010,2010,Fixed,Fixit Clinic,2019-05-17,The espresso maker was working but the regular brew was not making coffee. The light came on but no hot water was pumped up to the grounds - ie. no brew. I bought an element and a thermostat before I figured out how to test the element  (which turned out to be fine).  The thermostat failed the test and when I replaced it... JAVA!!! Then a happy dance!,
fixitclinic_135,Fixit Clinic,USA,English,Aircon/Dehumidifier,Unknown,Unknown,????,Repairable,Fixit Clinic,2019-05-18,Not cooling anymore ,
fixitclinic_136,Fixit Clinic,USA,English,Misc,Unknown,Unknown,????,Repairable,Fixit Clinic,2019-05-21,,
fixitclinic_137,Fixit Clinic,USA,English,Small kitchen item,I don't remember,I don't remember,????,Repairable,Fixit Clinic,2019-05-21,,
fixitclinic_138,Fixit Clinic,USA,English,Misc,Vornado,Unknown,????,Repairable,Fixit Clinic,2019-05-21,,
fixitclinic_139,Fixit Clinic,USA,English,Misc,Museum of Modern Art,Sunny day with bright clouds underneath dark exterior.,????,Repairable,Fixit Clinic,2019-05-21,,
fixitclinic_140,Fixit Clinic,USA,English,Lamp,unknown,none available,????,Fixed,Fixit Clinic,2019-05-21,,
fixitclinic_141,Fixit Clinic,USA,English,Headphones,Beats,Unkbown,????,Fixed,Fixit Clinic,2019-05-21,,
fixitclinic_142,Fixit Clinic,USA,English,Misc,n/a,Unknown,????,Fixed,Fixit Clinic,2019-05-21,,
fixitclinic_143,Fixit Clinic,USA,English,Fan,arctic wind,TH - 100,????,Fixed,Fixit Clinic,2019-05-21,,
fixitclinic_144,Fixit Clinic,USA,English,Handheld entertainment device,brookstone and makita respectively,unknown,????,Repairable,Fixit Clinic,2019-05-21,,
fixitclinic_145,Fixit Clinic,USA,English,Lamp,Home Depot ,Unknown,????,Fixed,Fixit Clinic,2019-05-21,,
fixitclinic_146,Fixit Clinic,USA,English,Printer/scanner,HP,2055dn,????,Repairable,Fixit Clinic,2019-05-22,,
fixitclinic_147,Fixit Clinic,USA,English,Lamp,Ikea??,Unknown,????,Repairable,Fixit Clinic,2019-05-22,,
fixitclinic_148,Fixit Clinic,USA,English,Small kitchen item,Sunbeam,T20A,????,Repairable,Fixit Clinic,2019-05-22,,
fixitclinic_149,Fixit Clinic,USA,English,Misc,Russell Athletic,Unknown,????,Fixed,Fixit Clinic,2019-05-24,,
fixitclinic_150,Fixit Clinic,USA,English,Misc,MoMA,Starry Night,2016,Repairable,Fixit Clinic,2019-05-25,A couple of spindles had broken in a windy storm,
fixitclinic_151,Fixit Clinic,USA,English,TV and gaming-related accessories,Sanyo,Unknown,????,Repairable,Fixit Clinic,2019-05-27,,
fixitclinic_152,Fixit Clinic,USA,English,Lamp,Unknown (antique),Unknown ,2009,Fixed,Fixit Clinic,2019-05-28,It flickered,
fixitclinic_153,Fixit Clinic,USA,English,TV and gaming-related accessories,Magnavox,Unknown,????,End of life,Fixit Clinic,2019-05-28,,
fixitclinic_154,Fixit Clinic,USA,English,Lamp,Unknown,Unknown,2009,Repairable,Fixit Clinic,2019-06-06,Needs to be re-wired?  Won't turn on.,
fixitclinic_155,Fixit Clinic,USA,English,Small kitchen item,Krups,GVX1,????,Repairable,Fixit Clinic,2019-06-10, doesn't grind coffee,
fixitclinic_156,Fixit Clinic,USA,English,Small kitchen item,Black and Decker,EHC 650,2015,End of life,Fixit Clinic,2019-06-10,"Head of chopper was totally immersed in water, motor was rusted",
fixitclinic_157,Fixit Clinic,USA,English,Misc,Swiffer,Swiffer Wet Jet Mop, no model number,2019,Repairable,Fixit Clinic,2019-06-13,The motor in the jet is not working because there is no power supplied to it (we do not hear the motor's gears turning when we push the button that should make the mop shoot liquid out). 
fixitclinic_158,Fixit Clinic,USA,English,Fan,Lasko,3151,????,Repairable,Fixit Clinic,2019-06-15,Sometimes it Won’t turn on due to broken/ crooked wire,
fixitclinic_159,Fixit Clinic,USA,English,Fan,Holmes,HT 26 120V-80Hz 0.4A Y008 WG,2009,Repairable,Fixit Clinic,2019-06-21,"No working when plugged in and cannot fix the stand, i.e. part came apart for fan stand.   ",
fixitclinic_160,Fixit Clinic,USA,English,Misc,??,N/A,2014,Repairable,Fixit Clinic,2019-06-21,Need someone to pin and or cut bottom of slacks so I can wear them.,
fixitclinic_161,Fixit Clinic,USA,English,Laptop medium,Hp,G62 notebook pc,2017,Repairable,Fixit Clinic,2019-07-18,"Not coming on, blinking capslock light on the keyboard ",
fixitclinic_162,Fixit Clinic,USA,English,Small kitchen item,jura capresso,f60,????,Repairable,Fixit Clinic,2019-07-19,,
fixitclinic_163,Fixit Clinic,USA,English,Misc,Invacare,Unknown,????,Repairable,Fixit Clinic,2019-07-19,,
fixitclinic_164,Fixit Clinic,USA,English,Hi-Fi separates,UBL,CE2280,2017,Repairable,Fixit Clinic,2019-07-19,"The battery is no longer holding a charge. Nothing else is wrong with it, so I would like to replace the battery. I need help with the soldering part.",
fixitclinic_165,Fixit Clinic,USA,English,TV and gaming-related accessories,Sony,12BT1H,????,Repairable,Fixit Clinic,2019-07-21,,
fixitclinic_167,Fixit Clinic,USA,English,Lamp,"Lite Source INC Chino, CA",Item No: LS-3421,2009,Repairable,Fixit Clinic,2019-07-31,"I use this lamp and it’s twin as bedside table lamps, because they have a dimmer switch and can be dimmed down low for least-impact before bed lighting. About two weeks ago the on off/dimmer switch started having an intermittent delayed response  before the light would turn on. At first turning it off and in again once got it working, then  it had to be turned on and off  a few times, but still would start. Last week it quit entirely. I tried replacing the halogen bulb (which we’ve  done numerous times sinc",
fixitclinic_168,Fixit Clinic,USA,English,Misc,Brother,Unknown,2016,Repairable,Fixit Clinic,2019-08-01,The feed dogs don’t seem to work,
fixitclinic_169,Fixit Clinic,USA,English,Hi-Fi separates,Pioneer ,PL A45D,2009,Unknown,Fixit Clinic,2019-08-02,will not start up,
fixitclinic_170,Fixit Clinic,USA,English,Misc,Delta,No idea,2009,Repairable,Fixit Clinic,2019-08-03,Hot water faucet broke,
fixitclinic_171,Fixit Clinic,USA,English,Decorative or safety lights,Unknown,No idea. It came with my house,2009,Fixed,Fixit Clinic,2019-08-03,Developed a short,
fixitclinic_172,Fixit Clinic,USA,English,Misc,Came with my house,Came with my house,2009,Unknown,Fixit Clinic,2019-08-03,Broken and loose tiles,
fixitclinic_173,Fixit Clinic,USA,English,Misc,Kwikset,?,2009,Repairable,Fixit Clinic,2019-08-03,"Gradually got more difficult to turn, then one day I heard a pop and it would no longer retract properly.",
fixitclinic_174,Fixit Clinic,USA,English,Misc,Whi,Whirlpool,2014,Repairable,Fixit Clinic,2019-08-03,"Flooded, does not drain properly",
fixitclinic_175,Fixit Clinic,USA,English,Printer/scanner,epson,Stylus Photo 900,2013,Repairable,Fixit Clinic,2019-08-12,Heads dried up,
fixitclinic_176,Fixit Clinic,USA,English,Printer/scanner,Unknown,Unknown,2016,Repairable,Fixit Clinic,2019-08-13,,
fixitclinic_177,Fixit Clinic,USA,English,Mobile,IPhone,6,2017,Repairable,Fixit Clinic,2019-08-13,The screen is not working ,
fixitclinic_178,Fixit Clinic,USA,English,Mobile,Iphone,6S,2016,Repairable,Fixit Clinic,2019-08-13,I can hear it,
fixitclinic_179,Fixit Clinic,USA,English,Misc,Unknown,Unknown,????,Fixed,Fixit Clinic,2019-08-17,,
fixitclinic_180,Fixit Clinic,USA,English,Small kitchen item,Kenwood,A901E,????,Fixed,Fixit Clinic,2019-08-17,,
fixitclinic_181,Fixit Clinic,USA,English,Misc,High Sierra,Unknown,????,Repairable,Fixit Clinic,2019-08-18,,
fixitclinic_182,Fixit Clinic,USA,English,Mobile,appleq,A1634,????,Repairable,Fixit Clinic,2019-08-18,,
fixitclinic_183,Fixit Clinic,USA,English,Misc,Kenmore,DK ( in storage),2009,Repairable,Fixit Clinic,2019-08-18,"seized after non-use, in storage",
fixitclinic_184,Fixit Clinic,USA,English,Power tool,"unclear, from the 1940s (""copperline"")'",see above,????,Fixed,Fixit Clinic,2019-08-19,,
fixitclinic_185,Fixit Clinic,USA,English,Small kitchen item,Unknown,Unknown,????,Repairable,Fixit Clinic,2019-08-19,,
fixitclinic_186,Fixit Clinic,USA,English,Small kitchen item,black & decker,Unknown,????,Fixed,Fixit Clinic,2019-08-19,,
fixitclinic_187,Fixit Clinic,USA,English,Handheld entertainment device,apple,A1574,2016,Repairable,Fixit Clinic,2019-08-20,The battery is slowly expanding the display out,
fixitclinic_188,Fixit Clinic,USA,English,Misc,Sunbeam,Gcsbbv-201,2016,Unknown,Fixit Clinic,2018-01-02,"Steam selector switch broken, tip of soleplate broken",
fixitclinic_189,Fixit Clinic,USA,English,Misc,Sunbeam,Gcsbbv-201,2016,Unknown,Fixit Clinic,2018-01-02,,
fixitclinic_190,Fixit Clinic,USA,English,Decorative or safety lights,GE,7 ft Pre-lit Just cut medium frasier fir,????,Unknown,Fixit Clinic,2018-01-13,,
fixitclinic_191,Fixit Clinic,USA,English,Fan,Holmes,HOA - 1200,????,Unknown,Fixit Clinic,2018-01-14,,
fixitclinic_192,Fixit Clinic,USA,English,Vacuum,Hoover ,U505-930,????,Unknown,Fixit Clinic,2018-01-14,,
fixitclinic_193,Fixit Clinic,USA,English,Hi-Fi separates,Curtis,RCD670,????,Unknown,Fixit Clinic,2018-01-14,,
fixitclinic_194,Fixit Clinic,USA,English,Fan,Aries,Unknown,????,Unknown,Fixit Clinic,2018-01-14,,
fixitclinic_195,Fixit Clinic,USA,English,Small kitchen item,kitchen aid,KSB5MC4,2008,Unknown,Fixit Clinic,2018-01-14,A part required replacing. The directions supplied with the new part(s) made replacement procedure unclear.,
fixitclinic_196,Fixit Clinic,USA,English,Portable radio,SONY,ICF-SW30,????,Repairable,Fixit Clinic,2018-01-19,,
