id,data_provider,country,language,product_category,brand,model,year_of_manufacture,repair_status,group_identifier,date,problem
anstiftung_15,Anstiftung,DEU,German,Sewing machine,Privileg,Unknown,????,Repairable,repaircafe-sasel,2019-09-01,"Faden reißt, falscher Fadenlauf, falsche Fadenspannung"
anstiftung_16,Anstiftung,DEU,German,Hi-Fi integrated,Denon,Unknown,1999,Repairable,repaircafe-sasel,2019-09-01,Lautstärkeregler
anstiftung_17,Anstiftung,DEU,German,Portable radio,Grundig,Unknown,????,End of life,repaircafe-sasel,2019-09-01,Sendersuchlaufknopf funktioniert nicht
anstiftung_18,Anstiftung,DEU,German,Sewing machine,Panasonic,Unknown,????,Repairable,repaircafe-sasel,2019-09-01,Bedienelemente defekt
anstiftung_19,Anstiftung,DEU,German,Vacuum,AEG,Unknown,2011,Repairable,repaircafe-sasel,2019-09-01,hört auf zu laufen
anstiftung_20,Anstiftung,DEU,German,Portable radio,Saba,Unknown,????,Fixed,repaircafe-sasel,2019-09-01,Uhr läuft unregelmäßig
anstiftung_21,Anstiftung,DEU,German,Small kitchen item,Moulinex,Unknown,????,End of life,repaircafe-sasel,2019-09-01,Wackelkontakt im Schalter
anstiftung_22,Anstiftung,DEU,German,Power tool,Metabo,Unknown,????,Repairable,repaircafe-sasel,2019-09-01,läuft nicht mehr
anstiftung_23,Anstiftung,DEU,German,Portable radio,Unknown,Unknown,????,Fixed,repaircafe-sasel,2019-09-01,?
anstiftung_24,Anstiftung,DEU,German,Sewing machine,Unknown,Unknown,????,End of life,repaircafe-sasel,2019-09-01,Falsch eingefädelt
anstiftung_25,Anstiftung,DEU,German,Hair & Beauty item,Unknown,Unknown,????,End of life,repaircafe-sasel,2019-09-01,Schlauch gerissen
anstiftung_26,Anstiftung,DEU,German,Small kitchen item,WMF,Unknown,????,End of life,repaircafe-sasel,2019-09-01,Einschaltknopf funktioniert nicht
anstiftung_29,Anstiftung,DEU,German,Toy,Leitz,Unknown,????,Fixed,repaircafe-sasel,2019-09-01,?
anstiftung_30,Anstiftung,DEU,German,Hair & Beauty item,Babyliss,Unknown,????,End of life,repaircafe-sasel,2019-09-01,funktioniert nicht
anstiftung_31,Anstiftung,DEU,German,Vacuum,Philips,Unknown,2009,Fixed,repaircafe-sasel,2019-09-01,Motor läuft nicht
anstiftung_32,Anstiftung,DEU,German,Small kitchen item,Unknown,Unknown,????,Fixed,repaircafe-sasel,2019-09-01,Läuft nicht zuverlässig (Getriebe)
anstiftung_33,Anstiftung,DEU,German,Printer/scanner,Unknown,Unknown,????,Fixed,repair-cafe-sprechstunde,2019-08-28,Druckbild verschmiert
anstiftung_34,Anstiftung,DEU,German,Portable radio,Unknown,Unknown,????,Repairable,repair-cafe-sprechstunde,2019-08-28,HDMI-Ausgang
anstiftung_36,Anstiftung,DEU,German,Hi-Fi separates,Unknown,Unknown,????,Repairable,repair-cafe-sprechstunde,2019-08-28,Schublade läuft nicht
anstiftung_43,Anstiftung,DEU,German,Vacuum,Unknown,Unknown,????,Fixed,repair-cafe-sprechstunde,2019-08-28,läuft nicht mehr
anstiftung_44,Anstiftung,DEU,German,Paper shredder,Unknown,Unknown,????,Fixed,repair-cafe-sprechstunde,2019-08-28,Gerät startet nicht
anstiftung_53,Anstiftung,DEU,German,Flat screen,Unknown,Unknown,????,Unknown,repair-cafe-sprechstunde,2019-08-28,TV wacht nicht aus Standby auf
anstiftung_54,Anstiftung,DEU,German,Flat screen,Unknown,Unknown,????,End of life,repair-cafe-sprechstunde,2019-08-28,Fernseher lässt sich nicht einschalten
anstiftung_55,Anstiftung,DEU,German,Portable radio,Unknown,Unknown,????,End of life,repair-cafe-sprechstunde,2019-08-28,funktioniert nicht
anstiftung_56,Anstiftung,DEU,German,Small home electrical,Unknown,Unknown,????,Fixed,repair-cafe-sprechstunde,2019-08-28,funktioniert nicht (Kontaktspray)
anstiftung_57,Anstiftung,DEU,German,Battery/charger/adapter,Unknown,Unknown,????,End of life,repair-cafe-sprechstunde,2019-08-28,Kabel vom Ladegerät beschädigt
anstiftung_58,Anstiftung,DEU,German,Small home electrical,Unknown,Unknown,????,End of life,repair-cafe-sprechstunde,2019-08-28,Takt unrund
anstiftung_59,Anstiftung,DEU,German,Small home electrical,Unknown,Unknown,????,End of life,repair-cafe-sprechstunde,2019-08-28,Rauschen und Krächzen in den Geräten
anstiftung_60,Anstiftung,DEU,German,Portable radio,Unknown,Unknown,1963,Fixed,repair-cafe-sprechstunde,2019-08-28,"Verstärker defekt, Plattenwechsler, Magazin, starkes Brummen"
anstiftung_61,Anstiftung,DEU,German,Portable radio,Unknown,Unknown,1953,Fixed,repair-cafe-sprechstunde,2019-08-28,"Endstufen Kopplungs-Kondensator, Kontakt-Wellenschalter schließt nicht"
anstiftung_62,Anstiftung,DEU,German,Flat screen,Samsung,Unknown,2009,Repairable,repaircafe-dresden,2019-08-28,"Den Gast berieten wir zu seinem knapp zehn Jahre alten Samsung „LE52A759R1MXZG“ Flachbildfernseher, der horizontale Streifen über den gesamten oberen Bildschirmrand zeigte und von dem er uns nur ein Video auf seinem Smartphone vorspielte. Das geschilderte Fehlerbild ist durchaus kein seltenes und wird von alters- und wärmebedingten Kontaktproblemen an der Verbindungsstelle zum LCD-Panel hervorgerufen. Wir verwiesen ihn direkt auf einen entsprechenden Tipp von Reparaturprofi Lars Gauster, der in seinem Video"
anstiftung_63,Anstiftung,DEU,German,Small kitchen item,Kenwood,Unknown,2016,Unknown,repaircafe-dresden,2019-08-28,"Auch eine Kenwood „KM28“ Küchenmaschine blieb ohne Funktion. Wir testeten sämtliche Sicherheitsschalter, prüften alle Leitungen auf Durchgang und maßen die Betriebsspannungen auf der Steuerplatine. Dabei stellten wir fest, dass ein Relais nicht richtig schaltete, da die Spannung an der Relaisspule offenbar zu niedrig war. Vermutlich also ein Fehler in der internen Spannungsversorgung, dem wir dann aber aus Zeitmangel nicht weiter auf den Grund gehen konnten. Bis zum nächsten Mal werden wir versuchen, an ent"
anstiftung_64,Anstiftung,DEU,German,Toaster,Braun,Unknown,????,End of life,repaircafe-dresden,2019-08-28,"Der Langschlitztoaster zeigte keine Funktion mehr. Ohne großartige Zerlegung ließ sich darin bereits eine durchgebrannte Heizwendel auf einer Seite erkennen - ein Defekt, der leider irreparabel ist und das Schicksal dieses Gerätes endgültig besiegelte."
anstiftung_65,Anstiftung,DEU,German,Small kitchen item,Silvercrest,Unknown,????,End of life,repaircafe-dresden,2019-08-28,"Ein SilverCrest „SSM 550 D1“ Standmixer tat keinerlei Regung mehr. Hier konnten wir eine durchgebrannte Feinsicherung im Inneren, aber auch einen sehr schwergängigen Elektromotor feststellten. Wir zerlegten den Motor und reinigten und ölten Lager und Welle, was schon ein wenig Besserung brachte. Darüber hinaus waren allerdings auch die Motorkohlen stark abgenutzt. Insgesamt schien der Besitzerin der Aufwand dann doch zu hoch, weswegen wir die Reparatur schließlich abbrachen. Sie wird das Gerät einer fachger"
anstiftung_66,Anstiftung,DEU,German,Desktop computer,Medion,Unknown,????,Fixed,repaircafe-dresden,2019-08-28,Um eine fachliche Meinung zum korrekten Anschluss der SSD-Festplatte in seinem Medion „MT14“ Desktop-PC bat ein anderer Besucher. Wir prüften den Sitz des SATA-Kabels und des Stromversorgungsanschlusses und befanden beides für in Ordnung. Auch seine Fragen zur BIOS-Batterie und zur geplanten Windows-Neuinstallation konnten wir zu seiner Zufriedenheit beantworten.
anstiftung_67,Anstiftung,DEU,German,Hi-Fi separates,Trust,Unknown,????,Fixed,repaircafe-dresden,2019-08-28,"Den Leuten vom Sofa9 war ihr Trust „Modell 20419-02“ Bluetooth-Lautsprecher mit Partylicht heruntergefallen und die Lautstärkeregelung nach dem Sturz ohne Funktion. Sie hatten das Gerät bereits auseinandergebaut, allerdings nicht das passende Werkzeug, um die abgerissene Leiterplatte mit den Bedientasten auf der Stirnseite wieder anzulöten. Hier konnten wir natürlich aushelfen und auch die gebrochenen Schraubendome, auf denen die Platine befestigt war, wieder festkleben."
anstiftung_68,Anstiftung,DEU,German,Laptop,Fujitsu,Unknown,2003,Unknown,repaircafe-dresden,2019-08-28,"An dem Notebook von Fujitsu Siemens war die Ladebuchse ausgeleiert, weswegen der Akku bei verbundenem Netzteil nicht mehr aufgeladen wurde. Wir löteten die Ladebuchse von der Platine und recherchierten im Internet nach einem geeigneten Ersatz, wurden jedoch nicht fündig, da auch das Notebook sehr alt war. Der Gast entschied sich daher letztlich gegen eine Reparatur und will sich nun lieber ein neues Gerät kaufen."
anstiftung_69,Anstiftung,DEU,German,Printer/scanner,Epson,Unknown,????,Unknown,repaircafe-dresden,2019-08-28,"Papierstau bei Einzug: Die Blockade wurde scheinbar durch eine Transportwalze verursacht, die auf einer Seite aus ihrer Arretierung gerutscht war und nun schief im Transportmechanismus hing. Die Reparatur scheiterte heute leider an der Zerlegung des Gerätes, das wenig reparaturfreundlich aufgebaut war. Beim nächsten Termin im Vereinshaus Anfang September, wenn unser Drucker-Experte wieder zugegen ist, werden wir hier jedoch weitermachen."
anstiftung_70,Anstiftung,DEU,German,Portable radio,Unknown,Unknown,1953,Fixed,repair-cafe-sprechstunde,2019-08-28,Spielt nicht (Netzgleichrichter und Elkos defekt)
anstiftung_71,Anstiftung,DEU,German,Toy,Unknown,Unknown,????,Fixed,repair-cafe-sprechstunde,2019-08-28,fährt nicht
anstiftung_73,Anstiftung,DEU,German,DLSR / Video Camera,Unknown,Unknown,????,End of life,repair-cafe-sprechstunde,2019-08-28,"Objektiv stellt nicht mehr scharf, Objektiv bleibt hängen"
anstiftung_77,Anstiftung,DEU,German,Printer/scanner,Drucker,Unknown,????,Fixed,repair-cafe-sprechstunde,2019-08-28,Druckbild verschmiert
anstiftung_79,Anstiftung,DEU,German,Kettle,Gastroback,Unknown,????,Fixed,repaircafe-dresden,2019-08-24,"Die digitale Temperaturanzeige blinkte nur noch und das Gerät piepste. Wer braucht so etwas im Wasserkocher? Nach dem Auseinanderbauen konnten wir sehen, dass offenbar reichlich Wasser in die Elektronik im Kannenboden eingedrungen war und einige Korrosion hinterlassen hat. Ein Elko war dick und der Anschlussdraht eines Bauelements war weggegammelt. Den Elko haben wir getauscht und den Anschluss geflickt. Das Gerät funktioniert wieder, aber der Besitzer muss sehr aufpassen, dass kein Wasser mehr in die Elekt"
anstiftung_80,Anstiftung,DEU,German,Small kitchen item,Cloer,Unknown,????,Repairable,repaircafe-dresden,2019-08-24,"Es hatte beim Einschalten geblitzt und der Leitungsschutzschalter (Sicherung) hatte ausgelöst. Nach dem öffnen konnten wir den Grund sehen. Das Gerät war so schlecht konstruiert, dass die Anschlüsse der Glimmlampe im Ein-Schalter beim Drücken immer die Heizschleife berührten. Nach einiger Zeit war die Isolation durch und es gab einen Kurzschluss. So ein Murks! Wir werden eine neue Glimmlampe besorgen und die Reparatur des Geräts demnächst fertig stellen."
anstiftung_81,Anstiftung,DEU,German,Portable radio,SoundMaster,Unknown,2012,Repairable,repaircafe-dresden,2019-08-24,"Es wurde keine CD mehr abgespielt. Die Spindel drehte nicht einmal an, wenn man auf CD-Betrieb schaltete. Wir stellte einen Kurzschluss im CD-Teil fest und suchten lange nach der Ursache. Auch nach dem Auswechseln einiger „verdächtiger Bauelemente“ gelang uns leider keine Reparatur. Es wird ein Radio blieben müssen."
anstiftung_82,Anstiftung,DEU,German,Watch/clock,Unknown,Unknown,2009,Fixed,repaircafe-dresden,2019-08-24,"Manchmal hing der Sekundenzeiger fest. Zuerst vermuteten wir eine leere Batterie als Ursache, denn die eingebaute hatte nur noch 1 Volt Spannung. Aber auch mit einer frischen Batterie blieb das Uhrwerk nach einige Wartezeit stehen. Die Mechanik dieses Kinder-Weckers war zum großen Teil aus Plastik und nicht langlebig konstruiert. Trotzdem gelang es uns den Sekundenzeiger so zu montieren, dass der wieder zuverlässig durchlief."
anstiftung_83,Anstiftung,DEU,German,TV and gaming-related accessories,Logitech,Unknown,????,Fixed,repaircafe-dresden,2019-08-23,"Einer unserer Mitstreiter reparierte derweil seine Logitech „K360“ Funktastatur, an der nach Wassereinwirkung einige Tasten ohne Funktion blieben. Er reinigte das Innenleben des Kunststoffgehäuses und besserte die unterbrochenen Leiterzüge auf der Folienleiterplatte mit etwas Leitsilber aus."
anstiftung_85,Anstiftung,DEU,German,Power tool,Parkside,Unknown,2011,Repairable,repaircafe-dresden,2019-08-23,"Recht kraftlos kam ein Parkside „PABS 10,8V-Li“ Akkuschrauber daher. Ursache war lediglich eine schwache Akkuzelle innerhalb des 3er-Akku-Packs, für den der Besitzer nun einen Ersatz besorgen möchte."
anstiftung_86,Anstiftung,DEU,German,Hi-Fi separates,Universum,Unknown,????,Fixed,repaircafe-dresden,2019-08-23,"Das geschilderte Problem, dass die Lautstärke auf dem rechten Kanal ständig schwanke, konnten wir vor Ort nicht reproduzieren. Dafür gelang es uns, das rechte Kassettendeck wieder gängig zu machen. Von diesem gingen im Betrieb hörbare Laufgeräusche aus, als würden hier Metall- und Kunststoffteile aneinander reiben. Und tatsächlich fanden wir darin eine Plastearretierung, die eingerissen war und von einer Feder gegen das Schwungrad gedrückt wurde. Mit einer Kleinigkeit Sekundenkleber und viel Geduld konnte d"
anstiftung_87,Anstiftung,DEU,German,Fan,AEG,Unknown,????,Fixed,repaircafe-dresden,2019-08-23,"Nur noch ein laues Lüftchen produzierte ein AEG „VL 5528“ Tischventilator, so langsam, wie sich dessen Motor drehte. Wir unterzogen die Lager einer gründlichen Reinigung und spendierten ihnen noch einen Tropfen Öl. Danach sorgte der Ventilator wieder für angenehm kräftigen Wind."
anstiftung_88,Anstiftung,DEU,German,Small kitchen item,VEB Elektrogerätewerk Suhl,Unknown,1979,Fixed,repaircafe-dresden,2019-08-23,"Dieses Exemplar litt unter Kontaktproblemen am Stufenwahlschalter, was aber relativ leicht durch Nachbiegen der Kontaktfeder im Schalter behoben werden konnten."
anstiftung_90,Anstiftung,DEU,German,Hi-Fi separates,Universum,Unknown,????,Fixed,repaircafe-dresden,2019-08-23,"Dem Besitzer des Hi-Fi-Verstärkers, der damit die Woche zuvor im Rosenwerk zu Gast war, war beim Zusammenbau eine Leitung von der Platine mit dem Netzschalter abgerissen. Da er keinen eigenen Lötkolben besaß, benötigte er nur das richtige Werkzeug, um die Leitung wieder anzulöten. Ein abschließender Test bestätigte schließlich den Erfolg seiner Bemühungen."
anstiftung_91,Anstiftung,DEU,German,Small kitchen item,Kenwood,Unknown,????,Repairable,repaircafe-dresden,2019-08-20,"Von einer Küchenmaschine „Kenwood KM210“ wurde nur die Antriebseinheit mitgebracht.  Der Gast hatte bereits zu Hause einiges probiert und die Maschine dazu schon demontiert. Wir überprüften die Wicklungen des Motors und fanden eineige defekte. Immer wenn der Motor auf dieser Stelle stehen blieb, ging es dann nicht weiter. Der Gast versucht, einen Austauschmotor zu besorgen."
anstiftung_92,Anstiftung,DEU,German,Small kitchen item,Philips,Unknown,????,End of life,repaircafe-dresden,2019-08-20,Keinen Erfolg hatten wir bei der Kaffeemaschine „Philips Senseo Type HD 7812“. Sie heizte das Wasser nicht mehr auf. Wir überprüften die Heizung mit dem Multimeter. Wie vermut war sie defekt. Der Gast möchte aus Kostengründen keine neue Heizung kaufen.
anstiftung_93,Anstiftung,DEU,German,Hi-Fi separates,RFT,Unknown,1990,Fixed,repaircafe-dresden,2019-08-20,Bei dem HiFi-Plattenspieler wurde der Tonarm nicht mehr automatisch bewegt. Gemeinsam studierten wir den Schaltplan und überprüften die für den Tonarm notwendigen Spannung. In der 6-Volt-Stromversorgung tauschten wir einen defekten Elko. Nach der Feineinstellung der Endposition funktionierte der Plattenspieler wieder.
anstiftung_94,Anstiftung,DEU,German,Flat screen,LG Electronics,Unknown,2011,Repairable,repaircafe-dresden,2019-08-20,"Ein LED-TV „LG 42LN5406“ zeigte kein Bild mehr an, der Ton war aber noch zu hören. Mit einer Taschenlampe konnten wir auf dem Display ein Bild erkennen. Wir demontierten das Gerät und überprüften die LED-Hintergrundbeleuchtung. Ein LED-Modul war defekt. Es wird bestellt und beim nächsten Mal ausgetauscht."
anstiftung_95,Anstiftung,DEU,German,Lamp,Unknown,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,Ersatzkabel befestigt.
anstiftung_96,Anstiftung,DEU,German,Small kitchen item,Unknown,Unknown,????,Unknown,repair-cafe-wernigerode,2019-08-19,AN-/AUS-Knopf rausgefallen
anstiftung_97,Anstiftung,DEU,German,Lamp,Unknown,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,"Einige der Funktionen der Taschenlampe nicht aktiv. Kontaktproblem, wurde mit Kontaktspray behoben."
anstiftung_98,Anstiftung,DEU,German,Power tool,Black & Decker,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,Hat Aussetzter.
anstiftung_99,Anstiftung,DEU,German,Small kitchen item,Saeco,Unknown,????,Unknown,repair-cafe-wernigerode,2019-08-19,-
anstiftung_100,Anstiftung,DEU,German,Vacuum,Clean Maxx,Unknown,????,Unknown,repair-cafe-wernigerode,2019-08-19,Geht nicht an.
anstiftung_101,Anstiftung,DEU,German,Laptop,Asus,Unknown,????,End of life,repair-cafe-wernigerode,2019-08-19,Desktop hat sich verstellt und weitere Probleme mit Programmen
anstiftung_102,Anstiftung,DEU,German,Small home electrical,TCM,Unknown,????,Unknown,repair-cafe-wernigerode,2019-08-19,Geht nicht mehr an.
anstiftung_103,Anstiftung,DEU,German,Portable radio,Grundig,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,AN-/AUS Schalter am Radio kaputt.
anstiftung_104,Anstiftung,DEU,German,Small kitchen item,rapid,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,Wurde beim Ausschalten heiß und hat gestunken.
anstiftung_105,Anstiftung,DEU,German,Small kitchen item,RG 28,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,Wackelkontakt
anstiftung_106,Anstiftung,DEU,German,Small kitchen item,BEEM,Unknown,????,Repairable,repair-cafe-wernigerode,2019-08-19,Thermoschalter kaputt
anstiftung_107,Anstiftung,DEU,German,Tablet,Intenso,Unknown,????,Unknown,repair-cafe-wernigerode,2019-08-19,"Strom kommt an, aber keine Bilder"
anstiftung_108,Anstiftung,DEU,German,Small kitchen item,Melitta,Unknown,????,Unknown,repair-cafe-wernigerode,2019-08-19,Heizt nicht mehr
anstiftung_109,Anstiftung,DEU,German,Large home electrical,Unknown,Unknown,????,End of life,repair-cafe-wernigerode,2019-08-19,Maktetronröhre defekt.
anstiftung_110,Anstiftung,DEU,German,Portable radio,AIWA,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,brummt
anstiftung_111,Anstiftung,DEU,German,Vacuum,Quigg,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,macht Geräusche
anstiftung_112,Anstiftung,DEU,German,Vacuum,Unknown,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,Anschalter schaltet ständig wieder um.
anstiftung_113,Anstiftung,DEU,German,Power tool,Bosch,Unknown,????,Unknown,repair-cafe-wernigerode,2019-08-19,"Spule defekt, schwingt nicht mehr."
anstiftung_114,Anstiftung,DEU,German,Portable radio,Stern,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,Abstimmung
anstiftung_115,Anstiftung,DEU,German,Power tool,Multimax,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,Bohrt nicht mehr.
anstiftung_116,Anstiftung,DEU,German,Tablet,Unknown,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,Probleme mit Internet
anstiftung_117,Anstiftung,DEU,German,Portable radio,Unknown,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,Ersatzteile mussten eigebaut werden
anstiftung_118,Anstiftung,DEU,German,Portable radio,Prominent,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,Sendereinstellung war fest und Netzkabel musste nachgesetzt werden.
anstiftung_119,Anstiftung,DEU,German,Portable radio,Unknown,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,Lötstelle musste gelötet werden.
anstiftung_120,Anstiftung,DEU,German,Lamp,Unknown,Unknown,????,Fixed,repair-cafe-wernigerode,2019-08-19,Leitung defekt.
anstiftung_121,Anstiftung,DEU,German,Desktop computer,Unknown,Unknown,2013,Fixed,repaircafe-freital,2019-08-14,"Hilfe beim Einbau des CPU-Kühler benötigt. Der Plastikrahmen auf dem Mainboard war gebrochen und der Kühler abgefallen. Die mitgebrachten Ersatzteile passten aber leider nicht zu den vorgesehenen Schraublöchern, sodass der Besucher nochmal los musste, die richtigen Teile zu besorgen. Mit denen konnten wir dann den CPU-Kühler (mit neuer Wärmeleitpaste) wieder befestigen."
anstiftung_122,Anstiftung,DEU,German,Hi-Fi separates,Scott,Unknown,1983,Fixed,repaircafe-freital,2019-08-14,Fortsetzung vom 23.7.19: Wir konnten die mitgebrachten Ersatzteile (Endstufentransistoren) einlöten. Dann funktionierte das Gerät wieder wir früher.
anstiftung_123,Anstiftung,DEU,German,Hi-Fi separates,ESI,Unknown,2009,Fixed,repaircafe-freital,2019-08-14,"Man hörte nach dem einschalten nur ein lautes „Plopp-Plopp“. Die Box hatte viele Jahre ungenutzt rumgestanden und sollte nun wieder zum Einsatz kommen. Wir untersuchten das Gerät, vor allem das Netzteil, konnten aber keinen Fehler finden. Mit der zeit wurde das „Plopp-Plopp“ auch leider und war am Ende gar nicht mehr zu hören. Wir vermuten, dass sich ein Elektrolytkondensator nach der langen Zeit erst wieder neu formieren musste, um seine Kenndaten zu erreichen und in der Schaltung wie vorgesehen zu funktio"
anstiftung_125,Anstiftung,DEU,German,Lamp,Unknown,Unknown,2009,Repairable,repaircafe-freital,2019-08-14,"Ließ sich nicht mehr einfach ein- und ausschalten. Der Kipphebel war abgebrochen. Leider handelte es sich nicht um einen einzelnen Schalter, den man hätte wechseln können, sondern um eine sehr spezielle Mechanik, die nicht reparabel war. Die Dame wir das Licht so weiter benutzen und zum „Ausschalten“ aus der Steckdose herausziehen."
anstiftung_126,Anstiftung,DEU,German,Battery/charger/adapter,Unknown,Unknown,????,End of life,repaircafe-freital,2019-08-14,"Lud nicht mehr. Wir untersuchten das Gerät und stellten einen Kabelbruch am USB-Stecker fest. Da die Besucherin keine Reparatur machen wollte, landet das Teil leider im Müll."
anstiftung_127,Anstiftung,DEU,German,Small kitchen item,BEEM,Unknown,????,Fixed,repaircafe-freital,2019-08-14,"Die Heizung sollte nicht richtig funktionieren. Im Gespräch kam heraus, dass das Aufbrühen des Kaffees gut funktionierte , aber der Kaffee in der Kanne danach nicht mehr warm blieb. Wir untersuchten die Heizung, Thermoschalter und Kontakte auf Unsicherheiten, fanden aber nichts. Beim genauen Lesen der Bedienungsanleitung fanden wir eine Einstellung, bei der man zwischen Thermoskanne und Glaskrug umstellen konnte. Da eine Thermoskanne nicht geheizt werden muss, war das Problem klar. Nachdem das umgestellt wa"
anstiftung_128,Anstiftung,DEU,German,Desktop computer,HP,Unknown,????,Fixed,repaircafe-freital,2019-08-14,"Mitgebrachte SSD eingebaut, Tipps zum installieren des Betriebssystems gegeben."
anstiftung_129,Anstiftung,DEU,German,Flat screen,Philips,Unknown,2014,Unknown,repaircafe-freital,2019-08-14,"Fortsetzung vom letzten Mal: Der Fernseher startet und kommt bis zum Anzeigen des Philips-Logos. Dort bleibt er eine Weile und startet neu. Netzteil durchgemessen - alles ok. Weiter gesucht, die Spannungen 5 V und 12 V brechen beim Starten kurz ein, aber keinen Grund dafür gefunden. Wahrscheinlich Defekt der Steuerplatine."
anstiftung_130,Anstiftung,DEU,German,Small kitchen item,Bosch,Unknown,????,Unknown,repaircafe-dresden,2019-08-14,"Der Pürieraufsatz eines Bosch Handrührgerätes machte ziemlich laute Geräusche. Im Betrieb mit diesem vibrierte die Maschine zudem sehr stark, was auf ein ausgeschlagenes Motorlager hindeutet. Diesen Defekt konnten wir in Ermangelung eines geeigneten Ersatzteils leider nicht beheben. Da sich das Problem aber hauptsächlich mit dem Pürieraufsatz bemerkbar macht, das Gerät allerdings noch gut mit einem Rührbesen funktioniert, will die Besitzerin es so weiternutzen."
anstiftung_131,Anstiftung,DEU,German,Power tool,Bosch,Unknown,????,Repairable,repaircafe-dresden,2019-08-14,"Mit der Bosch Schlagbohrmaschine konnte man weder richtig Meißeln noch ordentlich Schlagbohren. Der Schlaghub war viel zu gering, was uns ein abgenutztes Schlagwerk vermuten ließ. Wir verwiesen den Gast für ein Ersatzteil auf einen entsprechenden Fachhändler, wo er sich nun um Ersatz bemühen möchte."
anstiftung_132,Anstiftung,DEU,German,Kettle,WMF,Unknown,????,Fixed,repaircafe-dresden,2019-08-14,"Wieder einmal beehrte uns ein Wasserkocher mit dem Fehlerbild, dass er nicht mehr heiß wurde. Doch bei diesem Exemplar war zum Glück nicht das Heizelement die Ursache, sondern verbogene Kontakte im Sockel des Kochers. Diese konnten leicht wieder zurechtgebogen und das Gerät damit zur gewohnten Zusammenarbeit überredet werden."
anstiftung_133,Anstiftung,DEU,German,Small kitchen item,TEC-STAR,Unknown,????,Repairable,repaircafe-dresden,2019-08-14,"Eine TEC-STAR „MD16973“ 3-in-1 Mini-Küchenmaschine versagte ihre treuen Dienste, nachdem sie zuletzt beim Einstecken des Netzsteckers einen Kurzschluss verursacht hatte und die Sicherung heraussprang. Nach der Zerlegung sahen wir, dass die Feinsicherung auf der Platine geschmolzen und der Brückengleichrichter defekt war. Mit passendem Ersatz, der nun erst einmal bestellt werden muss, werden wir diese Reparatur das nächste Mal fortsetzen und hoffentlich abschließen."
